actual_cost,date,items,quantity,row_id,row_name
224962.28,2021-02-01,57376,4353997.0,02P,NHS BARNSLEY
256710.0,2021-03-01,65063,4872532.0,02P,NHS BARNSLEY
247413.2,2021-04-01,62313,4610229.0,02P,NHS BARNSLEY
236575.06,2021-05-01,59054,4410450.0,02P,NHS BARNSLEY
258281.65,2021-06-01,63287,4744596.0,02P,NHS BARNSLEY
249495.06,2021-07-01,63199,4726209.0,02P,NHS BARNSLEY
238035.95,2021-08-01,61845,4516869.0,02P,NHS BARNSLEY
252015.14,2021-09-01,63959,4789581.0,02P,NHS BARNSLEY
241571.98,2021-10-01,61599,4524026.0,02P,NHS BARNSLEY
251216.42,2021-11-01,62645,4686553.0,02P,NHS BARNSLEY
263550.81,2021-12-01,67086,4935117.0,02P,NHS BARNSLEY
231586.47,2022-01-01,62028,4502043.0,02P,NHS BARNSLEY
224524.27,2022-02-01,58559,4332824.0,02P,NHS BARNSLEY
258275.27,2022-03-01,66895,4833880.0,02P,NHS BARNSLEY
243231.77,2022-04-01,61703,4458270.0,02P,NHS BARNSLEY
254412.74,2022-05-01,64669,4574781.0,02P,NHS BARNSLEY
264478.83,2022-06-01,64776,4561227.0,02P,NHS BARNSLEY
262938.39,2022-07-01,63111,4507124.0,02P,NHS BARNSLEY
271430.71,2022-08-01,66076,4812493.0,02P,NHS BARNSLEY
284847.08,2022-09-01,66123,4733825.0,02P,NHS BARNSLEY
275547.06,2022-10-01,63746,4599474.0,02P,NHS BARNSLEY
328895.61,2022-11-01,64730,4749898.0,02P,NHS BARNSLEY
355536.2,2022-12-01,66636,4771869.0,02P,NHS BARNSLEY
340908.07,2023-01-01,65909,4731555.0,02P,NHS BARNSLEY
326623.2,2023-02-01,61198,4388861.0,02P,NHS BARNSLEY
364481.74,2023-03-01,70117,4971240.0,02P,NHS BARNSLEY
327581.98,2023-04-01,62500,4516736.0,02P,NHS BARNSLEY
339328.69,2023-05-01,66189,4573916.0,02P,NHS BARNSLEY
364439.95,2023-06-01,69062,4844534.0,02P,NHS BARNSLEY
354870.17,2023-07-01,66742,4774732.0,02P,NHS BARNSLEY
367418.64,2023-08-01,68242,4990509.0,02P,NHS BARNSLEY
351003.8,2023-09-01,66772,4565210.0,02P,NHS BARNSLEY
356246.39,2023-10-01,68521,4850918.0,02P,NHS BARNSLEY
340733.98,2023-11-01,68168,4793664.0,02P,NHS BARNSLEY
336650.64,2023-12-01,66887,4825950.0,02P,NHS BARNSLEY
348670.37,2024-01-01,70683,5140888.0,02P,NHS BARNSLEY
316075.35,2024-02-01,65424,4605877.0,02P,NHS BARNSLEY
332615.02,2024-03-01,66550,4742714.0,02P,NHS BARNSLEY
318974.17,2024-04-01,70277,5116633.0,02P,NHS BARNSLEY
324862.82,2024-05-01,71885,5082665.0,02P,NHS BARNSLEY
307768.58,2024-06-01,67076,4733840.0,02P,NHS BARNSLEY
351451.85,2024-07-01,72688,5224991.0,02P,NHS BARNSLEY
336191.04,2024-08-01,70895,4994105.0,02P,NHS BARNSLEY
314810.1,2024-09-01,67964,4789447.0,02P,NHS BARNSLEY
342860.16,2024-10-01,73427,5240858.0,02P,NHS BARNSLEY
313852.16,2024-11-01,69565,4844586.0,02P,NHS BARNSLEY
329949.58,2024-12-01,72359,5090385.0,02P,NHS BARNSLEY
335710.88,2025-01-01,72899,5166121.0,02P,NHS BARNSLEY
309445.86,2025-02-01,66044,4696765.0,02P,NHS BARNSLEY
317784.5,2025-03-01,68418,4853636.0,02P,NHS BARNSLEY
335844.23,2025-04-01,71143,5037451.0,02P,NHS BARNSLEY
348955.7,2025-05-01,72302,5133374.0,02P,NHS BARNSLEY
346381.86,2025-06-01,71203,4965435.0,02P,NHS BARNSLEY
341108.58,2025-07-01,75129,5255704.0,02P,NHS BARNSLEY
316349.36,2025-08-01,69221,4805871.0,02P,NHS BARNSLEY
343222.75,2025-09-01,73317,5145523.0,02P,NHS BARNSLEY
330588.02,2025-10-01,76982,5498420.0,02P,NHS BARNSLEY
273696.55,2025-11-01,67532,4730192.0,02P,NHS BARNSLEY
327493.47,2025-12-01,76450,5468967.0,02P,NHS BARNSLEY
324354.65,2026-01-01,73666,5271105.0,02P,NHS BARNSLEY
195851.13,2021-02-01,30506,2447372.0,99E,NHS BASILDON AND BRENTWOOD
223695.87,2021-03-01,33141,2632288.0,99E,NHS BASILDON AND BRENTWOOD
228126.8,2021-04-01,32991,2599600.0,99E,NHS BASILDON AND BRENTWOOD
222226.95,2021-05-01,30713,2467335.0,99E,NHS BASILDON AND BRENTWOOD
226159.22,2021-06-01,33352,2590652.0,99E,NHS BASILDON AND BRENTWOOD
229111.92,2021-07-01,33386,2615655.0,99E,NHS BASILDON AND BRENTWOOD
211225.99,2021-08-01,31385,2484070.0,99E,NHS BASILDON AND BRENTWOOD
226691.01,2021-09-01,33271,2602269.0,99E,NHS BASILDON AND BRENTWOOD
213178.18,2021-10-01,31226,2474920.0,99E,NHS BASILDON AND BRENTWOOD
223307.02,2021-11-01,32408,2543261.0,99E,NHS BASILDON AND BRENTWOOD
230322.65,2021-12-01,33648,2636149.0,99E,NHS BASILDON AND BRENTWOOD
216023.6,2022-01-01,33099,2620741.0,99E,NHS BASILDON AND BRENTWOOD
200339.58,2022-02-01,29963,2327047.0,99E,NHS BASILDON AND BRENTWOOD
238811.79,2022-03-01,34774,2724463.0,99E,NHS BASILDON AND BRENTWOOD
222661.75,2022-04-01,31299,2471393.0,99E,NHS BASILDON AND BRENTWOOD
221336.0,2022-05-01,33128,2548929.0,99E,NHS BASILDON AND BRENTWOOD
234932.68,2022-06-01,32552,2553955.0,99E,NHS BASILDON AND BRENTWOOD
229036.73,2022-07-01,31488,2443988.0,99E,NHS BASILDON AND BRENTWOOD
242777.8,2022-08-01,33458,2589621.0,99E,NHS BASILDON AND BRENTWOOD
243672.1,2022-09-01,33078,2541988.0,99E,NHS BASILDON AND BRENTWOOD
247313.64,2022-10-01,33357,2549626.0,99E,NHS BASILDON AND BRENTWOOD
261874.96,2022-11-01,32486,2499260.0,99E,NHS BASILDON AND BRENTWOOD
267833.52,2022-12-01,32583,2520843.0,99E,NHS BASILDON AND BRENTWOOD
278593.18,2023-01-01,33122,2536438.0,99E,NHS BASILDON AND BRENTWOOD
262885.11,2023-02-01,31320,2389184.0,99E,NHS BASILDON AND BRENTWOOD
313182.21,2023-03-01,36841,2809592.0,99E,NHS BASILDON AND BRENTWOOD
258180.51,2023-04-01,31017,2400652.0,99E,NHS BASILDON AND BRENTWOOD
286416.69,2023-05-01,34546,2638908.0,99E,NHS BASILDON AND BRENTWOOD
289710.09,2023-06-01,34052,2581924.0,99E,NHS BASILDON AND BRENTWOOD
274477.41,2023-07-01,33141,2576415.0,99E,NHS BASILDON AND BRENTWOOD
284435.62,2023-08-01,33712,2554134.0,99E,NHS BASILDON AND BRENTWOOD
269245.16,2023-09-01,32417,2447738.0,99E,NHS BASILDON AND BRENTWOOD
297206.57,2023-10-01,35436,2714044.0,99E,NHS BASILDON AND BRENTWOOD
280954.35,2023-11-01,34111,2603246.0,99E,NHS BASILDON AND BRENTWOOD
276317.56,2023-12-01,33511,2523334.0,99E,NHS BASILDON AND BRENTWOOD
280045.72,2024-01-01,35466,2726533.0,99E,NHS BASILDON AND BRENTWOOD
256149.64,2024-02-01,32475,2480262.0,99E,NHS BASILDON AND BRENTWOOD
269087.85,2024-03-01,33414,2595175.0,99E,NHS BASILDON AND BRENTWOOD
256211.56,2024-04-01,34189,2600373.0,99E,NHS BASILDON AND BRENTWOOD
263551.44,2024-05-01,34848,2638200.0,99E,NHS BASILDON AND BRENTWOOD
250414.09,2024-06-01,32366,2470059.0,99E,NHS BASILDON AND BRENTWOOD
287664.77,2024-07-01,36690,2766508.0,99E,NHS BASILDON AND BRENTWOOD
274641.1,2024-08-01,33957,2595244.0,99E,NHS BASILDON AND BRENTWOOD
258118.79,2024-09-01,33071,2500449.0,99E,NHS BASILDON AND BRENTWOOD
273918.97,2024-10-01,36845,2768855.0,99E,NHS BASILDON AND BRENTWOOD
264242.05,2024-11-01,34265,2627627.0,99E,NHS BASILDON AND BRENTWOOD
264328.87,2024-12-01,34669,2633187.0,99E,NHS BASILDON AND BRENTWOOD
269185.9,2025-01-01,36260,2744823.0,99E,NHS BASILDON AND BRENTWOOD
239758.87,2025-02-01,31924,2411986.0,99E,NHS BASILDON AND BRENTWOOD
252084.94,2025-03-01,33494,2542362.0,99E,NHS BASILDON AND BRENTWOOD
247853.22,2025-04-01,33693,2527103.0,99E,NHS BASILDON AND BRENTWOOD
266051.44,2025-05-01,35717,2701896.0,99E,NHS BASILDON AND BRENTWOOD
245034.22,2025-06-01,33802,2531471.0,99E,NHS BASILDON AND BRENTWOOD
260454.77,2025-07-01,37230,2824423.0,99E,NHS BASILDON AND BRENTWOOD
229695.97,2025-08-01,33895,2553351.0,99E,NHS BASILDON AND BRENTWOOD
249386.09,2025-09-01,35725,2703614.0,99E,NHS BASILDON AND BRENTWOOD
239839.47,2025-10-01,36515,2775549.0,99E,NHS BASILDON AND BRENTWOOD
219173.88,2025-11-01,32772,2485362.0,99E,NHS BASILDON AND BRENTWOOD
251845.64,2025-12-01,37654,2918017.0,99E,NHS BASILDON AND BRENTWOOD
245532.94,2026-01-01,35873,2710565.0,99E,NHS BASILDON AND BRENTWOOD
107852.71,2021-02-01,23384,2193727.0,02Q,NHS BASSETLAW
121253.89,2021-03-01,27069,2497359.0,02Q,NHS BASSETLAW
116569.56,2021-04-01,25876,2403082.0,02Q,NHS BASSETLAW
106490.5,2021-05-01,24313,2211675.0,02Q,NHS BASSETLAW
118101.44,2021-06-01,26453,2387044.0,02Q,NHS BASSETLAW
117159.51,2021-07-01,26305,2371294.0,02Q,NHS BASSETLAW
109930.32,2021-08-01,25458,2309546.0,02Q,NHS BASSETLAW
112481.4,2021-09-01,26198,2334906.0,02Q,NHS BASSETLAW
108608.85,2021-10-01,25307,2267354.0,02Q,NHS BASSETLAW
111521.02,2021-11-01,25903,2327528.0,02Q,NHS BASSETLAW
123126.51,2021-12-01,28297,2529944.0,02Q,NHS BASSETLAW
106755.87,2022-01-01,25683,2321415.0,02Q,NHS BASSETLAW
104419.85,2022-02-01,24503,2184685.0,02Q,NHS BASSETLAW
119097.95,2022-03-01,26991,2406150.0,02Q,NHS BASSETLAW
112886.33,2022-04-01,26689,2381948.0,02Q,NHS BASSETLAW
111652.03,2022-05-01,25720,2269615.0,02Q,NHS BASSETLAW
123213.45,2022-06-01,26943,2402486.0,02Q,NHS BASSETLAW
109439.15,2022-07-01,25182,2221864.0,02Q,NHS BASSETLAW
125173.21,2022-08-01,28415,2474126.0,02Q,NHS BASSETLAW
124232.37,2022-09-01,27174,2384289.0,02Q,NHS BASSETLAW
122278.63,2022-10-01,25971,2258115.0,02Q,NHS BASSETLAW
134229.86,2022-11-01,27365,2388318.0,02Q,NHS BASSETLAW
149982.47,2022-12-01,28166,2468170.0,02Q,NHS BASSETLAW
142574.92,2023-01-01,27393,2397834.0,02Q,NHS BASSETLAW
134718.94,2023-02-01,25087,2201198.0,02Q,NHS BASSETLAW
148643.13,2023-03-01,28282,2453129.0,02Q,NHS BASSETLAW
143922.9,2023-04-01,26894,2374182.0,02Q,NHS BASSETLAW
145321.89,2023-05-01,27796,2425457.0,02Q,NHS BASSETLAW
167598.89,2023-06-01,28178,2454373.0,02Q,NHS BASSETLAW
149432.19,2023-07-01,26183,2299009.0,02Q,NHS BASSETLAW
161126.91,2023-08-01,29737,2512961.0,02Q,NHS BASSETLAW
145688.27,2023-09-01,27232,2307735.0,02Q,NHS BASSETLAW
146143.77,2023-10-01,28854,2542889.0,02Q,NHS BASSETLAW
148132.57,2023-11-01,28792,2547438.0,02Q,NHS BASSETLAW
146978.86,2023-12-01,28352,2507063.0,02Q,NHS BASSETLAW
151399.39,2024-01-01,29910,2652479.0,02Q,NHS BASSETLAW
139642.43,2024-02-01,27485,2424495.0,02Q,NHS BASSETLAW
143315.09,2024-03-01,28323,2476064.0,02Q,NHS BASSETLAW
145889.27,2024-04-01,29750,2658820.0,02Q,NHS BASSETLAW
145093.64,2024-05-01,29831,2636577.0,02Q,NHS BASSETLAW
137616.56,2024-06-01,27935,2458012.0,02Q,NHS BASSETLAW
155031.87,2024-07-01,30348,2644240.0,02Q,NHS BASSETLAW
152257.49,2024-08-01,30199,2636381.0,02Q,NHS BASSETLAW
137564.28,2024-09-01,28915,2519884.0,02Q,NHS BASSETLAW
149371.0,2024-10-01,30673,2656089.0,02Q,NHS BASSETLAW
143644.46,2024-11-01,29612,2580301.0,02Q,NHS BASSETLAW
150395.64,2024-12-01,31069,2701200.0,02Q,NHS BASSETLAW
144782.35,2025-01-01,31332,2746972.0,02Q,NHS BASSETLAW
130766.27,2025-02-01,27613,2395855.0,02Q,NHS BASSETLAW
133244.15,2025-03-01,29644,2587743.0,02Q,NHS BASSETLAW
139596.95,2025-04-01,30308,2617618.0,02Q,NHS BASSETLAW
147654.48,2025-05-01,30493,2665282.0,02Q,NHS BASSETLAW
148862.81,2025-06-01,30107,2629423.0,02Q,NHS BASSETLAW
141922.41,2025-07-01,32140,2741603.0,02Q,NHS BASSETLAW
135320.71,2025-08-01,29242,2539202.0,02Q,NHS BASSETLAW
144381.49,2025-09-01,31065,2683617.0,02Q,NHS BASSETLAW
138987.42,2025-10-01,31213,2700457.0,02Q,NHS BASSETLAW
118902.36,2025-11-01,28366,2473842.0,02Q,NHS BASSETLAW
147275.99,2025-12-01,32398,2855402.0,02Q,NHS BASSETLAW
140967.04,2026-01-01,31611,2742624.0,02Q,NHS BASSETLAW
617766.02,2021-02-01,136546,9557147.0,92G,"NHS BATH AND NORTH EAST SOMERSET, SWINDON AND WILTSHIRE"
