date,quantity,forecast
2021-02-01,2447372.0,
2021-03-01,2632288.0,
2021-04-01,2599600.0,2559753.3333333335
2021-05-01,2467335.0,2566407.6666666665
2021-06-01,2590652.0,2552529.0
2021-07-01,2615655.0,2557880.6666666665
2021-08-01,2484070.0,2563459.0
2021-09-01,2602269.0,2567331.3333333335
2021-10-01,2474920.0,2520419.6666666665
2021-11-01,2543261.0,2540150.0
2021-12-01,2636149.0,2551443.3333333335
2022-01-01,2620741.0,2600050.3333333335
2022-02-01,2327047.0,2527979.0
2022-03-01,2724463.0,2557417.0
2022-04-01,2471393.0,2507634.3333333335
2022-05-01,2548929.0,2581595.0
2022-06-01,2553955.0,2524759.0
2022-07-01,2443988.0,2515624.0
2022-08-01,2589621.0,2529188.0
2022-09-01,2541988.0,2525199.0
2022-10-01,2549626.0,2560411.6666666665
2022-11-01,2499260.0,2530291.3333333335
2022-12-01,2520843.0,2523243.0
2023-01-01,2536438.0,2518847.0
2023-02-01,2389184.0,2482155.0
2023-03-01,2809592.0,2578404.6666666665
2023-04-01,2400652.0,2533142.6666666665
2023-05-01,2638908.0,2616384.0
2023-06-01,2581924.0,2540494.6666666665
2023-07-01,2576415.0,2599082.3333333335
2023-08-01,2554134.0,2570824.3333333335
2023-09-01,2447738.0,2526095.6666666665
2023-10-01,2714044.0,2571972.0
2023-11-01,2603246.0,2588342.6666666665
2023-12-01,2523334.0,2613541.3333333335
2024-01-01,2726533.0,2617704.3333333335
2024-02-01,2480262.0,2576709.6666666665
2024-03-01,2595175.0,2600656.6666666665
2024-04-01,2600373.0,2558603.3333333335
2024-05-01,2638200.0,2611249.3333333335
2024-06-01,2470059.0,2569544.0
2024-07-01,2766508.0,2624922.3333333335
2024-08-01,2595244.0,2610603.6666666665
2024-09-01,2500449.0,2620733.6666666665
2024-10-01,2768855.0,2621516.0
2024-11-01,2627627.0,2632310.3333333335
2024-12-01,2633187.0,2676556.3333333335
2025-01-01,2744823.0,2668545.6666666665
2025-02-01,2411986.0,2596665.3333333335
2025-03-01,2542362.0,2566390.3333333335
2025-04-01,2527103.0,2493817.0
2025-05-01,2701896.0,2590453.6666666665
2025-06-01,2531471.0,2586823.3333333335
2025-07-01,2824423.0,2685930.0
2025-08-01,2553351.0,2636415.0
2025-09-01,2703614.0,2693796.0
2025-10-01,2775549.0,2677504.6666666665
2025-11-01,2485362.0,2654841.6666666665
2025-12-01,2918017.0,2726309.3333333335
2026-01-01,2710565.0,2704648.0
2026-02-28,,2704648.0
2026-03-31,,2704648.0
2026-04-30,,2704648.0
