date,quantity,forecast
2021-02-01,16425913.0,
2021-03-01,17808842.0,
2021-04-01,17195117.0,17143290.666666668
2021-05-01,16098377.0,17034112.0
2021-06-01,17457237.0,16916910.333333332
2021-07-01,16952340.0,16835984.666666668
2021-08-01,16521607.0,16977061.333333332
2021-09-01,17203145.0,16892364.0
2021-10-01,16702153.0,16808968.333333332
2021-11-01,17309617.0,17071638.333333332
2021-12-01,17679733.0,17230501.0
2022-01-01,17265170.0,17418173.333333332
2022-02-01,16095793.0,17013565.333333332
2022-03-01,18303622.0,17221528.333333332
2022-04-01,16334238.0,16911217.666666668
2022-05-01,17761757.0,17466539.0
2022-06-01,17024499.0,17040164.666666668
2022-07-01,16861150.0,17215802.0
2022-08-01,17279337.0,17054995.333333332
2022-09-01,17661774.0,17267420.333333332
2022-10-01,16916067.0,17285726.0
2022-11-01,17783995.0,17453945.333333332
2022-12-01,17282143.0,17327401.666666668
2023-01-01,18186397.0,17750845.0
2023-02-01,16143421.0,17203987.0
2023-03-01,18457016.0,17595611.333333332
2023-04-01,16383709.0,16994715.333333332
2023-05-01,17492411.0,17444378.666666668
2023-06-01,17642030.0,17172716.666666668
2023-07-01,17583621.0,17572687.333333332
2023-08-01,17951695.0,17725782.0
2023-09-01,17584416.0,17706577.333333332
2023-10-01,17974989.0,17837033.333333332
2023-11-01,18194496.0,17917967.0
2023-12-01,18047310.0,18072265.0
2024-01-01,18621965.0,18287923.666666668
2024-02-01,17543264.0,18070846.333333332
2024-03-01,17888444.0,18017891.0
2024-04-01,18303991.0,17911899.666666668
2024-05-01,18412847.0,18201760.666666668
2024-06-01,17292066.0,18002968.0
2024-07-01,19140059.0,18281657.333333332
2024-08-01,17936610.0,18122911.666666668
2024-09-01,18022907.0,18366525.333333332
2024-10-01,19334882.0,18431466.333333332
2024-11-01,18125945.0,18494578.0
2024-12-01,18667753.0,18709526.666666668
2025-01-01,19566492.0,18786730.0
2025-02-01,17217485.0,18483910.0
2025-03-01,18569622.0,18451199.666666668
2025-04-01,18213934.0,18000347.0
2025-05-01,18893991.0,18559182.333333332
2025-06-01,18303293.0,18470406.0
2025-07-01,19700805.0,18966029.666666668
2025-08-01,17808463.0,18604187.0
2025-09-01,19700832.0,19070033.333333332
2025-10-01,19638229.0,19049174.666666668
2025-11-01,18295774.0,19211611.666666668
2025-12-01,20307230.0,19413744.333333332
2026-01-01,19489666.0,19364223.333333332
2026-02-28,,19364223.333333332
2026-03-31,,19364223.333333332
2026-04-30,,19364223.333333332
