date,quantity,forecast
2021-02-01,3956973.0,
2021-03-01,4561560.0,
2021-04-01,4249091.0,4255874.666666667
2021-05-01,4096399.0,4302350.0
2021-06-01,4408418.0,4251302.666666667
2021-07-01,4220063.0,4241626.666666667
2021-08-01,4279819.0,4302766.666666667
2021-09-01,4316005.0,4271962.333333333
2021-10-01,4174656.0,4256826.666666667
2021-11-01,4240547.0,4243736.0
2021-12-01,4537957.0,4317720.0
2022-01-01,4256335.0,4344946.333333333
2022-02-01,3787658.0,4193983.3333333335
2022-03-01,4605786.0,4216593.0
2022-04-01,4200021.0,4197821.666666667
2022-05-01,4408284.0,4404697.0
2022-06-01,4182083.0,4263462.666666667
2022-07-01,4279351.0,4289906.0
2022-08-01,4277334.0,4246256.0
2022-09-01,4395609.0,4317431.333333333
2022-10-01,4291503.0,4321482.0
2022-11-01,4317399.0,4334837.0
2022-12-01,4325247.0,4311383.0
2023-01-01,4325630.0,4322758.666666667
2023-02-01,3989292.0,4213389.666666667
2023-03-01,4480280.0,4265067.333333333
2023-04-01,4021237.0,4163603.0
2023-05-01,4297133.0,4266216.666666667
2023-06-01,4259962.0,4192777.3333333335
2023-07-01,4466355.0,4341150.0
2023-08-01,4401247.0,4375854.666666667
2023-09-01,4099474.0,4322358.666666667
2023-10-01,4416030.0,4305583.666666667
2023-11-01,4394821.0,4303441.666666667
2023-12-01,4287126.0,4365992.333333333
2024-01-01,4520871.0,4400939.333333333
2024-02-01,4194718.0,4334238.333333333
2024-03-01,4201241.0,4305610.0
2024-04-01,4416571.0,4270843.333333333
2024-05-01,4486571.0,4368127.666666667
2024-06-01,4117069.0,4340070.333333333
2024-07-01,4464449.0,4356029.666666667
2024-08-01,4361854.0,4314457.333333333
2024-09-01,4235823.0,4354042.0
2024-10-01,4521879.0,4373185.333333333
2024-11-01,4315129.0,4357610.333333333
2024-12-01,4449541.0,4428849.666666667
2025-01-01,4652967.0,4472545.666666667
2025-02-01,4015744.0,4372750.666666667
2025-03-01,4251320.0,4306677.0
2025-04-01,4385112.0,4217392.0
2025-05-01,4385554.0,4340662.0
2025-06-01,4254255.0,4341640.333333333
2025-07-01,4631661.0,4423823.333333333
2025-08-01,4206540.0,4364152.0
2025-09-01,4561397.0,4466532.666666667
2025-10-01,4613997.0,4460644.666666667
2025-11-01,4279860.0,4485084.666666667
2025-12-01,4793735.0,4562530.666666667
2026-01-01,4566276.0,4546623.666666667
2026-02-28,,4546623.666666667
2026-03-31,,4546623.666666667
2026-04-30,,4546623.666666667
