date,quantity,forecast
2021-02-01,2404409.0,
2021-03-01,2754338.0,
2021-04-01,2542565.0,2567104.0
2021-05-01,2453417.0,2583440.0
2021-06-01,2587309.0,2527763.6666666665
2021-07-01,2636760.0,2559162.0
2021-08-01,2431542.0,2551870.3333333335
2021-09-01,2559488.0,2542596.6666666665
2021-10-01,2621102.0,2537377.3333333335
2021-11-01,2642493.0,2607694.3333333335
2021-12-01,2767054.0,2676883.0
2022-01-01,2666029.0,2691858.6666666665
2022-02-01,2348581.0,2593888.0
2022-03-01,2785431.0,2600013.6666666665
2022-04-01,2493196.0,2542402.6666666665
2022-05-01,2652738.0,2643788.3333333335
2022-06-01,2611615.0,2585849.6666666665
2022-07-01,2548560.0,2604304.3333333335
2022-08-01,2589685.0,2583286.6666666665
2022-09-01,2521734.0,2553326.3333333335
2022-10-01,2636164.0,2582527.6666666665
2022-11-01,2696883.0,2618260.3333333335
2022-12-01,2555980.0,2629675.6666666665
2023-01-01,2663765.0,2638876.0
2023-02-01,2479921.0,2566555.3333333335
2023-03-01,2763977.0,2635887.6666666665
2023-04-01,2538253.0,2594050.3333333335
2023-05-01,2640205.0,2647478.3333333335
2023-06-01,2696307.0,2624921.6666666665
2023-07-01,2622292.0,2652934.6666666665
2023-08-01,2695661.0,2671420.0
2023-09-01,2535681.0,2617878.0
2023-10-01,2693325.0,2641555.6666666665
2023-11-01,2805106.0,2678037.3333333335
2023-12-01,2597056.0,2698495.6666666665
2024-01-01,2778822.0,2726994.6666666665
2024-02-01,2534736.0,2636871.3333333335
2024-03-01,2553441.0,2622333.0
2024-04-01,2810757.0,2632978.0
2024-05-01,2767863.0,2710687.0
2024-06-01,2667545.0,2748721.6666666665
2024-07-01,2762010.0,2732472.6666666665
2024-08-01,2753872.0,2727809.0
2024-09-01,2654192.0,2723358.0
2024-10-01,2742873.0,2716979.0
2024-11-01,2713530.0,2703531.6666666665
2024-12-01,2749731.0,2735378.0
2025-01-01,2855725.0,2772995.3333333335
2025-02-01,2581186.0,2728880.6666666665
2025-03-01,2665649.0,2700853.3333333335
2025-04-01,2661773.0,2636202.6666666665
2025-05-01,2875611.0,2734344.3333333335
2025-06-01,2713252.0,2750212.0
2025-07-01,2881796.0,2823553.0
2025-08-01,2659234.0,2751427.3333333335
2025-09-01,2821009.0,2787346.3333333335
2025-10-01,2886595.0,2788946.0
2025-11-01,2668872.0,2792158.6666666665
2025-12-01,3012520.0,2855995.6666666665
2026-01-01,2872301.0,2851231.0
2026-02-28,,2851231.0
2026-03-31,,2851231.0
2026-04-30,,2851231.0
