date,quantity,forecast
2021-02-01,8767658.0,
2021-03-01,9682753.0,
2021-04-01,9356751.0,9269054.0
2021-05-01,8903187.0,9314230.333333334
2021-06-01,9374602.0,9211513.333333334
2021-07-01,9251747.0,9176512.0
2021-08-01,8814886.0,9147078.333333334
2021-09-01,9204678.0,9090437.0
2021-10-01,8553174.0,8857579.333333334
2021-11-01,9280971.0,9012941.0
2021-12-01,9606097.0,9146747.333333334
2022-01-01,9157924.0,9348330.666666666
2022-02-01,8446608.0,9070209.666666666
2022-03-01,9636353.0,9080295.0
2022-04-01,8780990.0,8954650.333333334
2022-05-01,9368031.0,9261791.333333334
2022-06-01,8915567.0,9021529.333333334
2022-07-01,8864712.0,9049436.666666666
2022-08-01,9242850.0,9007709.666666666
2022-09-01,9024782.0,9044114.666666666
2022-10-01,9151504.0,9139712.0
2022-11-01,9367015.0,9181100.333333334
2022-12-01,9012978.0,9177165.666666666
2023-01-01,9195111.0,9191701.333333334
2023-02-01,8537252.0,8915113.666666666
2023-03-01,9721350.0,9151237.666666666
2023-04-01,8778351.0,9012317.666666666
2023-05-01,8572764.0,9024155.0
2023-06-01,9209107.0,8853407.333333334
2023-07-01,9115152.0,8965674.333333334
2023-08-01,9502884.0,9275714.333333334
2023-09-01,8857803.0,9158613.0
2023-10-01,9269457.0,9210048.0
2023-11-01,9472060.0,9199773.333333334
2023-12-01,9326109.0,9355875.333333334
2024-01-01,9569453.0,9455874.0
2024-02-01,8925205.0,9273589.0
2024-03-01,9090282.0,9194980.0
2024-04-01,9323332.0,9112939.666666666
2024-05-01,9660038.0,9357884.0
2024-06-01,9062982.0,9348784.0
2024-07-01,9728325.0,9483781.666666666
2024-08-01,9302475.0,9364594.0
2024-09-01,9160836.0,9397212.0
2024-10-01,9706599.0,9389970.0
2024-11-01,9427728.0,9431721.0
2024-12-01,9709529.0,9614618.666666666
2025-01-01,9869812.0,9669023.0
2025-02-01,8630134.0,9403158.333333334
2025-03-01,9315785.0,9271910.333333334
2025-04-01,9219855.0,9055258.0
2025-05-01,9728888.0,9421509.333333334
2025-06-01,9262340.0,9403694.333333334
2025-07-01,9940171.0,9643799.666666666
2025-08-01,9121469.0,9441326.666666666
2025-09-01,9706011.0,9589217.0
2025-10-01,9911537.0,9579672.333333334
2025-11-01,9151383.0,9589643.666666666
2025-12-01,10040726.0,9701215.333333334
2026-01-01,9807944.0,9666684.333333334
2026-02-28,,9666684.333333334
2026-03-31,,9666684.333333334
2026-04-30,,9666684.333333334
