date,quantity,forecast
2021-02-01,2478895.0,
2021-03-01,2852097.0,
2021-04-01,2614075.0,2648355.6666666665
2021-05-01,2536857.0,2667676.3333333335
2021-06-01,2715508.0,2622146.6666666665
2021-07-01,2691936.0,2648100.3333333335
2021-08-01,2550133.0,2652525.6666666665
2021-09-01,2819168.0,2687079.0
2021-10-01,2589481.0,2652927.3333333335
2021-11-01,2650510.0,2686386.3333333335
2021-12-01,2891717.0,2710569.3333333335
2022-01-01,2668193.0,2736806.6666666665
2022-02-01,2539536.0,2699815.3333333335
2022-03-01,2812027.0,2673252.0
2022-04-01,2722442.0,2691335.0
2022-05-01,2775701.0,2770056.6666666665
2022-06-01,2660063.0,2719402.0
2022-07-01,2682699.0,2706154.3333333335
2022-08-01,2670906.0,2671222.6666666665
2022-09-01,2775541.0,2709715.3333333335
2022-10-01,2788614.0,2745020.3333333335
2022-11-01,2719149.0,2761101.3333333335
2022-12-01,2726880.0,2744881.0
2023-01-01,2728772.0,2724933.6666666665
2023-02-01,2497551.0,2651067.6666666665
2023-03-01,2868964.0,2698429.0
2023-04-01,2632975.0,2666496.6666666665
2023-05-01,2688439.0,2730126.0
2023-06-01,2853120.0,2724844.6666666665
2023-07-01,2722283.0,2754614.0
2023-08-01,2789734.0,2788379.0
2023-09-01,2701203.0,2737740.0
2023-10-01,2883773.0,2791570.0
2023-11-01,2864964.0,2816646.6666666665
2023-12-01,2778448.0,2842395.0
2024-01-01,2834133.0,2825848.3333333335
2024-02-01,2717390.0,2776657.0
2024-03-01,2818595.0,2790039.3333333335
2024-04-01,2867516.0,2801167.0
2024-05-01,2935532.0,2873881.0
2024-06-01,2725849.0,2842965.6666666665
2024-07-01,3052356.0,2904579.0
2024-08-01,2908981.0,2895728.6666666665
2024-09-01,2791932.0,2917756.3333333335
2024-10-01,3046968.0,2915960.3333333335
2024-11-01,2821298.0,2886732.6666666665
2024-12-01,2898017.0,2922094.3333333335
2025-01-01,2945780.0,2888365.0
2025-02-01,2618344.0,2820713.6666666665
2025-03-01,2782375.0,2782166.3333333335
2025-04-01,2856965.0,2752561.3333333335
2025-05-01,2896422.0,2845254.0
2025-06-01,2814789.0,2856058.6666666665
2025-07-01,3092704.0,2934638.3333333335
2025-08-01,2879767.0,2929086.6666666665
2025-09-01,2978497.0,2983656.0
2025-10-01,3052859.0,2970374.3333333335
2025-11-01,2758060.0,2929805.3333333335
2025-12-01,3128198.0,2979705.6666666665
2026-01-01,2910926.0,2932394.6666666665
2026-02-28,,2932394.6666666665
2026-03-31,,2932394.6666666665
2026-04-30,,2932394.6666666665
