date,quantity,forecast
2021-02-01,2555764.0,
2021-03-01,2844724.0,
2021-04-01,2689436.0,2696641.3333333335
2021-05-01,2604075.0,2712745.0
2021-06-01,2728166.0,2673892.3333333335
2021-07-01,2608894.0,2647045.0
2021-08-01,2609946.0,2649002.0
2021-09-01,2784842.0,2667894.0
2021-10-01,2618966.0,2671251.3333333335
2021-11-01,2690342.0,2698050.0
2021-12-01,2748492.0,2685933.3333333335
2022-01-01,2690281.0,2709705.0
2022-02-01,2528016.0,2655596.3333333335
2022-03-01,2742205.0,2653500.6666666665
2022-04-01,2618778.0,2629666.3333333335
2022-05-01,2751351.0,2704111.3333333335
2022-06-01,2585357.0,2651828.6666666665
2022-07-01,2698028.0,2678245.3333333335
2022-08-01,2610194.0,2631193.0
2022-09-01,2770427.0,2692883.0
2022-10-01,2657621.0,2679414.0
2022-11-01,2703153.0,2710400.3333333335
2022-12-01,2642648.0,2667807.3333333335
2023-01-01,2817233.0,2721011.3333333335
2023-02-01,2471003.0,2643628.0
2023-03-01,2750536.0,2679590.6666666665
2023-04-01,2486508.0,2569349.0
2023-05-01,2627300.0,2621448.0
2023-06-01,2764780.0,2626196.0
2023-07-01,2613354.0,2668478.0
2023-08-01,2850272.0,2742802.0
2023-09-01,2583015.0,2682213.6666666665
2023-10-01,2758237.0,2730508.0
2023-11-01,2764263.0,2701838.3333333335
2023-12-01,2844759.0,2789086.3333333335
2024-01-01,2940921.0,2849981.0
2024-02-01,2812235.0,2865971.6666666665
2024-03-01,2746875.0,2833343.6666666665
2024-04-01,2939105.0,2832738.3333333335
2024-05-01,2899765.0,2861915.0
2024-06-01,2674285.0,2837718.3333333335
2024-07-01,2954793.0,2842947.6666666665
2024-08-01,2763840.0,2797639.3333333335
2024-09-01,2785729.0,2834787.3333333335
2024-10-01,2916583.0,2822050.6666666665
2024-11-01,2790355.0,2830889.0
2024-12-01,2864987.0,2857308.3333333335
2025-01-01,2973104.0,2876148.6666666665
2025-02-01,2626073.0,2821388.0
2025-03-01,2843664.0,2814280.3333333335
2025-04-01,2815155.0,2761630.6666666665
2025-05-01,3042770.0,2900529.6666666665
2025-06-01,2833741.0,2897222.0
2025-07-01,3009125.0,2961878.6666666665
2025-08-01,2771341.0,2871402.3333333335
2025-09-01,2981509.0,2920658.3333333335
2025-10-01,3089966.0,2947605.3333333335
2025-11-01,2747922.0,2939799.0
2025-12-01,3065450.0,2967779.3333333335
2026-01-01,2917182.0,2910184.6666666665
2026-02-28,,2910184.6666666665
2026-03-31,,2910184.6666666665
2026-04-30,,2910184.6666666665
