date,quantity,forecast
2021-02-01,8615342.0,
2021-03-01,9494957.0,
2021-04-01,9372074.0,9160791.0
2021-05-01,8795403.0,9220811.333333334
2021-06-01,9433122.0,9200199.666666666
2021-07-01,9424108.0,9217544.333333334
2021-08-01,8883444.0,9246891.333333334
2021-09-01,9301807.0,9203119.666666666
2021-10-01,8872841.0,9019364.0
2021-11-01,9425968.0,9200205.333333334
2021-12-01,9673813.0,9324207.333333334
2022-01-01,9459075.0,9519618.666666666
2022-02-01,8714675.0,9282521.0
2022-03-01,9803981.0,9325910.333333334
2022-04-01,9181331.0,9233329.0
2022-05-01,9545835.0,9510382.333333334
2022-06-01,9232466.0,9319877.333333334
2022-07-01,9212039.0,9330113.333333334
2022-08-01,9323353.0,9255952.666666666
2022-09-01,9551724.0,9362372.0
2022-10-01,9223367.0,9366148.0
2022-11-01,9445368.0,9406819.666666666
2022-12-01,9390172.0,9352969.0
2023-01-01,9562420.0,9465986.666666666
2023-02-01,8630173.0,9194255.0
2023-03-01,10054809.0,9415800.666666666
2023-04-01,8890732.0,9191904.666666666
2023-05-01,9328186.0,9424575.666666666
2023-06-01,9779209.0,9332709.0
2023-07-01,9426213.0,9511202.666666666
2023-08-01,9481144.0,9562188.666666666
2023-09-01,9388996.0,9432117.666666666
2023-10-01,9726022.0,9532054.0
2023-11-01,9778025.0,9631014.333333334
2023-12-01,9655508.0,9719851.666666666
2024-01-01,10050534.0,9828022.333333334
2024-02-01,9405563.0,9703868.333333334
2024-03-01,9573758.0,9676618.333333334
2024-04-01,9990357.0,9656559.333333334
2024-05-01,10088477.0,9884197.333333334
2024-06-01,9378821.0,9819218.333333334
2024-07-01,10266907.0,9911401.666666666
2024-08-01,9842457.0,9829395.0
2024-09-01,9472191.0,9860518.333333334
2024-10-01,10204256.0,9839634.666666666
2024-11-01,9904625.0,9860357.333333334
2024-12-01,10086171.0,10065017.333333334
2025-01-01,10415283.0,10135359.666666666
2025-02-01,9253516.0,9918323.333333334
2025-03-01,9840590.0,9836463.0
2025-04-01,9938116.0,9677407.333333334
2025-05-01,10175274.0,9984660.0
2025-06-01,9839838.0,9984409.333333334
2025-07-01,10618660.0,10211257.333333334
2025-08-01,9826339.0,10094945.666666666
2025-09-01,10330075.0,10258358.0
2025-10-01,10713138.0,10289850.666666666
2025-11-01,9882834.0,10308682.333333334
2025-12-01,10724681.0,10440217.666666666
2026-01-01,10537566.0,10381693.666666666
2026-02-28,,10381693.666666666
2026-03-31,,10381693.666666666
2026-04-30,,10381693.666666666
