date,quantity,forecast
2021-02-01,1550540.0,
2021-03-01,1738021.0,
2021-04-01,1683248.0,1657269.6666666667
2021-05-01,1550809.0,1657359.3333333333
2021-06-01,1666527.0,1633528.0
2021-07-01,1665891.0,1627742.3333333333
2021-08-01,1604383.0,1645600.3333333333
2021-09-01,1709639.0,1659971.0
2021-10-01,1659826.0,1657949.3333333333
2021-11-01,1633212.0,1667559.0
2021-12-01,1761826.0,1684954.6666666667
2022-01-01,1641050.0,1678696.0
2022-02-01,1524338.0,1642404.6666666667
2022-03-01,1675028.0,1613472.0
2022-04-01,1551524.0,1583630.0
2022-05-01,1649492.0,1625348.0
2022-06-01,1662260.0,1621092.0
2022-07-01,1667543.0,1659765.0
2022-08-01,1671239.0,1667014.0
2022-09-01,1653192.0,1663991.3333333333
2022-10-01,1642560.0,1655663.6666666667
2022-11-01,1786600.0,1694117.3333333333
2022-12-01,1729092.0,1719417.3333333333
2023-01-01,1757077.0,1757589.6666666667
2023-02-01,1542436.0,1676201.6666666667
2023-03-01,1811484.0,1703665.6666666667
2023-04-01,1654608.0,1669509.3333333333
2023-05-01,1690608.0,1718900.0
2023-06-01,1752259.0,1699158.3333333333
2023-07-01,1702306.0,1715057.6666666667
2023-08-01,1795060.0,1749875.0
2023-09-01,1730888.0,1742751.3333333333
2023-10-01,1792409.0,1772785.6666666667
2023-11-01,1844865.0,1789387.3333333333
2023-12-01,1841977.0,1826417.0
2024-01-01,1858453.0,1848431.6666666667
2024-02-01,1705158.0,1801862.6666666667
2024-03-01,1736092.0,1766567.6666666667
2024-04-01,1895896.0,1779048.6666666667
2024-05-01,1898709.0,1843565.6666666667
2024-06-01,1701547.0,1832050.6666666667
2024-07-01,1924484.0,1841580.0
2024-08-01,1814642.0,1813557.6666666667
2024-09-01,1829517.0,1856214.3333333333
2024-10-01,1915482.0,1853213.6666666667
2024-11-01,1794839.0,1846612.6666666667
2024-12-01,1892213.0,1867511.3333333333
2025-01-01,1936704.0,1874585.3333333333
2025-02-01,1718106.0,1849007.6666666667
2025-03-01,1821891.0,1825567.0
2025-04-01,1750976.0,1763657.6666666667
2025-05-01,1984787.0,1852551.3333333333
2025-06-01,1815143.0,1850302.0
2025-07-01,1921185.0,1907038.3333333333
2025-08-01,1817011.0,1851113.0
2025-09-01,1917737.0,1885311.0
2025-10-01,1930426.0,1888391.3333333333
2025-11-01,1828147.0,1892103.3333333333
2025-12-01,2007793.0,1922122.0
2026-01-01,1970618.0,1935519.3333333333
2026-02-28,,1935519.3333333333
2026-03-31,,1935519.3333333333
2026-04-30,,1935519.3333333333
