date,quantity,forecast
2021-02-01,1682963.0,
2021-03-01,1909747.0,
2021-04-01,1955374.0,1849361.3333333333
2021-05-01,1772494.0,1879205.0
2021-06-01,1912834.0,1880234.0
2021-07-01,1888439.0,1857922.3333333333
2021-08-01,1833443.0,1878238.6666666667
2021-09-01,1920757.0,1880879.6666666667
2021-10-01,1817499.0,1857233.0
2021-11-01,1826625.0,1854960.3333333333
2021-12-01,2103147.0,1915757.0
2022-01-01,1833174.0,1920982.0
2022-02-01,1740877.0,1892399.3333333333
2022-03-01,1929092.0,1834381.0
2022-04-01,1789672.0,1819880.3333333333
2022-05-01,1986220.0,1901661.3333333333
2022-06-01,1798310.0,1858067.3333333333
2022-07-01,1878397.0,1887642.3333333333
2022-08-01,1910075.0,1862260.6666666667
2022-09-01,1916228.0,1901566.6666666667
2022-10-01,1760632.0,1862311.6666666667
2022-11-01,1973207.0,1883355.6666666667
2022-12-01,1890464.0,1874767.6666666667
2023-01-01,1927349.0,1930340.0
2023-02-01,1774033.0,1863948.6666666667
2023-03-01,1992530.0,1897970.6666666667
2023-04-01,1790698.0,1852420.3333333333
2023-05-01,1879687.0,1887638.3333333333
2023-06-01,1880194.0,1850193.0
2023-07-01,1867119.0,1875666.6666666667
2023-08-01,1947841.0,1898384.6666666667
2023-09-01,1846873.0,1887277.6666666667
2023-10-01,1904137.0,1899617.0
2023-11-01,1921115.0,1890708.3333333333
2023-12-01,1862798.0,1896016.6666666667
2024-01-01,1996521.0,1926811.3333333333
2024-02-01,1836353.0,1898557.3333333333
2024-03-01,1824968.0,1885947.3333333333
2024-04-01,1958681.0,1873334.0
2024-05-01,1985078.0,1922909.0
2024-06-01,1865236.0,1936331.6666666667
2024-07-01,2003413.0,1951242.3333333333
2024-08-01,1948687.0,1939112.0
2024-09-01,1919786.0,1957295.3333333333
2024-10-01,1974772.0,1947748.3333333333
2024-11-01,1902536.0,1932364.6666666667
2024-12-01,2019570.0,1965626.0
2025-01-01,2047965.0,1990023.6666666667
2025-02-01,1798981.0,1955505.3333333333
2025-03-01,1900032.0,1915659.3333333333
2025-04-01,1916699.0,1871904.0
2025-05-01,2001533.0,1939421.3333333333
2025-06-01,1865403.0,1927878.3333333333
2025-07-01,2029641.0,1965525.6666666667
2025-08-01,1890176.0,1928406.6666666667
2025-09-01,1953147.0,1957654.6666666667
2025-10-01,2023436.0,1955586.3333333333
2025-11-01,1853739.0,1943440.6666666667
2025-12-01,2077418.0,1984864.3333333333
2026-01-01,1980453.0,1970536.6666666667
2026-02-28,,1970536.6666666667
2026-03-31,,1970536.6666666667
2026-04-30,,1970536.6666666667
