date,quantity,forecast
2021-02-01,10361422.0,
2021-03-01,11413197.0,
2021-04-01,11150661.0,10975093.333333334
2021-05-01,10773617.0,11112491.666666666
2021-06-01,11110281.0,11011519.666666666
2021-07-01,11400513.0,11094803.666666666
2021-08-01,10824102.0,11111632.0
2021-09-01,11342309.0,11188974.666666666
2021-10-01,10925822.0,11030744.333333334
2021-11-01,11364310.0,11210813.666666666
2021-12-01,11743111.0,11344414.333333334
2022-01-01,11150876.0,11419432.333333334
2022-02-01,10366567.0,11086851.333333334
2022-03-01,11810286.0,11109243.0
2022-04-01,10957836.0,11044896.333333334
2022-05-01,11113937.0,11294019.666666666
2022-06-01,11260651.0,11110808.0
2022-07-01,11286210.0,11220266.0
2022-08-01,11502678.0,11349846.333333334
2022-09-01,11537384.0,11442090.666666666
2022-10-01,11233135.0,11424399.0
2022-11-01,11543168.0,11437895.666666666
2022-12-01,11731542.0,11502615.0
2023-01-01,11568748.0,11614486.0
2023-02-01,10625962.0,11308750.666666666
2023-03-01,12276647.0,11490452.333333334
2023-04-01,10843515.0,11248708.0
2023-05-01,11283138.0,11467766.666666666
2023-06-01,11520557.0,11215736.666666666
2023-07-01,11361266.0,11388320.333333334
2023-08-01,11388127.0,11423316.666666666
2023-09-01,11033727.0,11261040.0
2023-10-01,11863765.0,11428539.666666666
2023-11-01,11891217.0,11596236.333333334
2023-12-01,11698473.0,11817818.333333334
2024-01-01,12075314.0,11888334.666666666
2024-02-01,11099124.0,11624303.666666666
2024-03-01,11345058.0,11506498.666666666
2024-04-01,11912725.0,11452302.333333334
2024-05-01,12050726.0,11769503.0
2024-06-01,11255362.0,11739604.333333334
2024-07-01,12134110.0,11813399.333333334
2024-08-01,11622419.0,11670630.333333334
2024-09-01,11569113.0,11775214.0
2024-10-01,12293237.0,11828256.333333334
2024-11-01,11790639.0,11884329.666666666
2024-12-01,12199642.0,12094506.0
2025-01-01,12461508.0,12150596.333333334
2025-02-01,11062897.0,11908015.666666666
2025-03-01,11760265.0,11761556.666666666
2025-04-01,11630830.0,11484664.0
2025-05-01,12277147.0,11889414.0
2025-06-01,11876998.0,11928325.0
2025-07-01,12680134.0,12278093.0
2025-08-01,11534132.0,12030421.333333334
2025-09-01,12359236.0,12191167.333333334
2025-10-01,12788755.0,12227374.333333334
2025-11-01,11615759.0,12254583.333333334
2025-12-01,12889354.0,12431289.333333334
2026-01-01,12574681.0,12359931.333333334
2026-02-28,,12359931.333333334
2026-03-31,,12359931.333333334
2026-04-30,,12359931.333333334
