date,quantity,forecast
2021-02-01,7542404.0,
2021-03-01,8492160.0,
2021-04-01,8064757.0,8033107.0
2021-05-01,7654247.0,8070388.0
2021-06-01,8327424.0,8015476.0
2021-07-01,8198315.0,8059995.333333333
2021-08-01,7784916.0,8103551.666666667
2021-09-01,8196194.0,8059808.333333333
2021-10-01,7825236.0,7935448.666666667
2021-11-01,7978937.0,8000122.333333333
2021-12-01,8445050.0,8083074.333333333
2022-01-01,7858766.0,8094251.0
2022-02-01,7461468.0,7921761.333333333
2022-03-01,8424198.0,7914810.666666667
2022-04-01,7893770.0,7926478.666666667
2022-05-01,8235482.0,8184483.333333333
2022-06-01,7986764.0,8038672.0
2022-07-01,7925454.0,8049233.333333333
2022-08-01,8236935.0,8049717.666666667
2022-09-01,8280686.0,8147691.666666667
2022-10-01,7944774.0,8154131.666666667
2022-11-01,8314163.0,8179874.333333333
2022-12-01,8454619.0,8237852.0
2023-01-01,8133930.0,8300904.0
2023-02-01,7424431.0,8004326.666666667
2023-03-01,8746266.0,8101542.333333333
2023-04-01,7709133.0,7959943.333333333
2023-05-01,8003285.0,8152894.666666667
2023-06-01,8251174.0,7987864.0
2023-07-01,8124619.0,8126359.333333333
2023-08-01,8261114.0,8212302.333333333
2023-09-01,8170406.0,8185379.666666667
2023-10-01,8186466.0,8205995.333333333
2023-11-01,8456256.0,8271042.666666667
2023-12-01,8320583.0,8321101.666666667
2024-01-01,8635849.0,8470896.0
2024-02-01,8133452.0,8363294.666666667
2024-03-01,8125240.0,8298180.333333333
2024-04-01,8532760.0,8263817.333333333
2024-05-01,8495052.0,8384350.666666667
2024-06-01,7940582.0,8322798.0
2024-07-01,8702700.0,8379444.666666667
2024-08-01,8477514.0,8373598.666666667
2024-09-01,8134502.0,8438238.666666666
2024-10-01,8832942.0,8481652.666666666
2024-11-01,8186641.0,8384695.0
2024-12-01,8667701.0,8562428.0
2025-01-01,8832699.0,8562347.0
2025-02-01,7767330.0,8422576.666666666
2025-03-01,8332512.0,8310847.0
2025-04-01,8350200.0,8150014.0
2025-05-01,8534378.0,8405696.666666666
2025-06-01,8340567.0,8408381.666666666
2025-07-01,8854691.0,8576545.333333334
2025-08-01,8155254.0,8450170.666666666
2025-09-01,8552224.0,8520723.0
2025-10-01,8867374.0,8524950.666666666
2025-11-01,8089986.0,8503194.666666666
2025-12-01,9058494.0,8671951.333333334
2026-01-01,8675504.0,8607994.666666666
2026-02-28,,8607994.666666666
2026-03-31,,8607994.666666666
2026-04-30,,8607994.666666666
