date,quantity,forecast
2021-02-01,10954573.0,
2021-03-01,12209552.0,
2021-04-01,11865974.0,11676699.666666666
2021-05-01,11231517.0,11769014.333333334
2021-06-01,12015795.0,11704428.666666666
2021-07-01,11789052.0,11678788.0
2021-08-01,11257730.0,11687525.666666666
2021-09-01,12000319.0,11682367.0
2021-10-01,11122264.0,11460104.333333334
2021-11-01,11826056.0,11649546.333333334
2021-12-01,12483097.0,11810472.333333334
2022-01-01,11576114.0,11961755.666666666
2022-02-01,11084115.0,11714442.0
2022-03-01,12320973.0,11660400.666666666
2022-04-01,11429777.0,11611621.666666666
2022-05-01,11777511.0,11842753.666666666
2022-06-01,11465364.0,11557550.666666666
2022-07-01,11412129.0,11551668.0
2022-08-01,11815082.0,11564191.666666666
2022-09-01,11862985.0,11696732.0
2022-10-01,11842801.0,11840289.333333334
2022-11-01,11976554.0,11894113.333333334
2022-12-01,12151622.0,11990325.666666666
2023-01-01,11940713.0,12022963.0
2023-02-01,10721435.0,11604590.0
2023-03-01,12587684.0,11749944.0
2023-04-01,10981350.0,11430156.333333334
2023-05-01,11897259.0,11822097.666666666
2023-06-01,11828491.0,11569033.333333334
2023-07-01,11780381.0,11835377.0
2023-08-01,12043803.0,11884225.0
2023-09-01,11574235.0,11799473.0
2023-10-01,12009844.0,11875960.666666666
2023-11-01,12497230.0,12027103.0
2023-12-01,12522376.0,12343150.0
2024-01-01,12588290.0,12535965.333333334
2024-02-01,11721606.0,12277424.0
2024-03-01,12000043.0,12103313.0
2024-04-01,12529710.0,12083786.333333334
2024-05-01,12771589.0,12433780.666666666
2024-06-01,11667103.0,12322800.666666666
2024-07-01,12952175.0,12463622.333333334
2024-08-01,12386493.0,12335257.0
2024-09-01,12028879.0,12455849.0
2024-10-01,13166795.0,12527389.0
2024-11-01,12458902.0,12551525.333333334
2024-12-01,12666746.0,12764147.666666666
2025-01-01,13080015.0,12735221.0
2025-02-01,11673722.0,12473494.333333334
2025-03-01,11849094.0,12200943.666666666
2025-04-01,12826447.0,12116421.0
2025-05-01,12789067.0,12488202.666666666
2025-06-01,12412848.0,12676120.666666666
2025-07-01,13412931.0,12871615.333333334
2025-08-01,12331560.0,12719113.0
2025-09-01,13073321.0,12939270.666666666
2025-10-01,13556350.0,12987077.0
2025-11-01,12391257.0,13006976.0
2025-12-01,13762744.0,13236783.666666666
2026-01-01,13316457.0,13156819.333333334
2026-02-28,,13156819.333333334
2026-03-31,,13156819.333333334
2026-04-30,,13156819.333333334
