date,quantity,forecast
2021-02-01,15728219.0,
2021-03-01,17579052.0,
2021-04-01,16980659.0,16762643.333333334
2021-05-01,16293270.0,16950993.666666668
2021-06-01,17095238.0,16789722.333333332
2021-07-01,17253834.0,16880780.666666668
2021-08-01,16395614.0,16914895.333333332
2021-09-01,17234596.0,16961348.0
2021-10-01,16104646.0,16578285.333333334
2021-11-01,17134310.0,16824517.333333332
2021-12-01,18096714.0,17111890.0
2022-01-01,16760849.0,17330624.333333332
2022-02-01,16033220.0,16963594.333333332
2022-03-01,17869271.0,16887780.0
2022-04-01,16554574.0,16819021.666666668
2022-05-01,17187520.0,17203788.333333332
2022-06-01,16596580.0,16779558.0
2022-07-01,16991788.0,16925296.0
2022-08-01,17435773.0,17008047.0
2022-09-01,17415369.0,17280976.666666668
2022-10-01,16835651.0,17228931.0
2022-11-01,17667161.0,17306060.333333332
2022-12-01,17787631.0,17430147.666666668
2023-01-01,17638205.0,17697665.666666668
2023-02-01,16169139.0,17198325.0
2023-03-01,18432451.0,17413265.0
2023-04-01,16361739.0,16987776.333333332
2023-05-01,17453352.0,17415847.333333332
2023-06-01,17550747.0,17121946.0
2023-07-01,17288626.0,17430908.333333332
2023-08-01,17506399.0,17448590.666666668
2023-09-01,17801714.0,17532246.333333332
2023-10-01,18237875.0,17848662.666666668
2023-11-01,18537291.0,18192293.333333332
2023-12-01,18341385.0,18372183.666666668
2024-01-01,19071257.0,18649977.666666668
2024-02-01,17612758.0,18341800.0
2024-03-01,17802167.0,18162060.666666668
2024-04-01,18693231.0,18036052.0
2024-05-01,19081767.0,18525721.666666668
2024-06-01,17534753.0,18436583.666666668
2024-07-01,19180778.0,18599099.333333332
2024-08-01,18567639.0,18427723.333333332
2024-09-01,18176800.0,18641739.0
2024-10-01,19515450.0,18753296.333333332
2024-11-01,18675909.0,18789386.333333332
2024-12-01,19473834.0,19221731.0
2025-01-01,20024346.0,19391363.0
2025-02-01,17744141.0,19080773.666666668
2025-03-01,18468923.0,18745803.333333332
2025-04-01,18793031.0,18335365.0
2025-05-01,19602892.0,18954948.666666668
2025-06-01,18736104.0,19044009.0
2025-07-01,19864632.0,19401209.333333332
2025-08-01,18331938.0,18977558.0
2025-09-01,19456633.0,19217734.333333332
2025-10-01,19962914.0,19250495.0
2025-11-01,18327878.0,19249141.666666668
2025-12-01,20963596.0,19751462.666666668
2026-01-01,20055064.0,19782179.333333332
2026-02-28,,19782179.333333332
2026-03-31,,19782179.333333332
2026-04-30,,19782179.333333332
