date,quantity,forecast
2021-02-01,14203584.0,
2021-03-01,15691209.0,
2021-04-01,15291789.0,15062194.0
2021-05-01,14644993.0,15209330.333333334
2021-06-01,15458156.0,15131646.0
2021-07-01,15410262.0,15171137.0
2021-08-01,14684870.0,15184429.333333334
2021-09-01,15246602.0,15113911.333333334
2021-10-01,14543588.0,14825020.0
2021-11-01,15531121.0,15107103.666666666
2021-12-01,16294146.0,15456285.0
2022-01-01,15227469.0,15684245.333333334
2022-02-01,13944526.0,15155380.333333334
2022-03-01,16081066.0,15084353.666666666
2022-04-01,14782470.0,14936020.666666666
2022-05-01,15367130.0,15410222.0
2022-06-01,15138373.0,15095991.0
2022-07-01,15231600.0,15245701.0
2022-08-01,15315772.0,15228581.666666666
2022-09-01,15363246.0,15303539.333333334
2022-10-01,15163566.0,15280861.333333334
2022-11-01,15756289.0,15427700.333333334
2022-12-01,15520163.0,15480006.0
2023-01-01,15756343.0,15677598.333333334
2023-02-01,14225172.0,15167226.0
2023-03-01,16794337.0,15591950.666666666
2023-04-01,14809725.0,15276411.333333334
2023-05-01,14628829.0,15410963.666666666
2023-06-01,15499172.0,14979242.0
2023-07-01,15397781.0,15175260.666666666
2023-08-01,15872491.0,15589814.666666666
2023-09-01,14913074.0,15394448.666666666
2023-10-01,15544229.0,15443264.666666666
2023-11-01,16221314.0,15559539.0
2023-12-01,16079306.0,15948283.0
2024-01-01,16668865.0,16323161.666666666
2024-02-01,15327355.0,16025175.333333334
2024-03-01,15873262.0,15956494.0
2024-04-01,16150851.0,15783822.666666666
2024-05-01,16409220.0,16144444.333333334
2024-06-01,15474859.0,16011643.333333334
2024-07-01,16498904.0,16127661.0
2024-08-01,15953934.0,15975899.0
2024-09-01,15664967.0,16039268.333333334
2024-10-01,16618906.0,16079269.0
2024-11-01,16013085.0,16098986.0
2024-12-01,16474974.0,16368988.333333334
2025-01-01,16556595.0,16348218.0
2025-02-01,14866103.0,15965890.666666666
2025-03-01,15973653.0,15798783.666666666
2025-04-01,15826784.0,15555513.333333334
2025-05-01,16564384.0,16121607.0
2025-06-01,15918940.0,16103369.333333334
2025-07-01,16914318.0,16465880.666666666
2025-08-01,15664093.0,16165783.666666666
2025-09-01,16534538.0,16370983.0
2025-10-01,17135226.0,16444619.0
2025-11-01,15945528.0,16538430.666666666
2025-12-01,17541810.0,16874188.0
2026-01-01,17083943.0,16857093.666666668
2026-02-28,,16857093.666666668
2026-03-31,,16857093.666666668
2026-04-30,,16857093.666666668
