date,quantity,forecast
2021-02-01,4084323.0,
2021-03-01,4667541.0,
2021-04-01,4488052.0,4413305.333333333
2021-05-01,4257722.0,4471105.0
2021-06-01,4549502.0,4431758.666666667
2021-07-01,4523186.0,4443470.0
2021-08-01,4283379.0,4452022.333333333
2021-09-01,4547951.0,4451505.333333333
2021-10-01,4438759.0,4423363.0
2021-11-01,4439823.0,4475511.0
2021-12-01,4677447.0,4518676.333333333
2022-01-01,4404793.0,4507354.333333333
2022-02-01,4206831.0,4429690.333333333
2022-03-01,4694497.0,4435373.666666667
2022-04-01,4369546.0,4423624.666666667
2022-05-01,4543635.0,4535892.666666667
2022-06-01,4556328.0,4489836.333333333
2022-07-01,4485894.0,4528619.0
2022-08-01,4634331.0,4558851.0
2022-09-01,4571629.0,4563951.333333333
2022-10-01,4490258.0,4565406.0
2022-11-01,4622870.0,4561585.666666667
2022-12-01,4597132.0,4570086.666666667
2023-01-01,4548733.0,4589578.333333333
2023-02-01,4220959.0,4455608.0
2023-03-01,4956320.0,4575337.333333333
2023-04-01,4345827.0,4507702.0
2023-05-01,4619212.0,4640453.0
2023-06-01,4803287.0,4589442.0
2023-07-01,4645540.0,4689346.333333333
2023-08-01,4683353.0,4710726.666666667
2023-09-01,4614101.0,4647664.666666667
2023-10-01,4740523.0,4679325.666666667
2023-11-01,4774320.0,4709648.0
2023-12-01,4713257.0,4742700.0
2024-01-01,4926788.0,4804788.333333333
2024-02-01,4680468.0,4773504.333333333
2024-03-01,4610641.0,4739299.0
2024-04-01,4852439.0,4714516.0
2024-05-01,5008222.0,4823767.333333333
2024-06-01,4546474.0,4802378.333333333
2024-07-01,5053896.0,4869530.666666667
2024-08-01,4824527.0,4808299.0
2024-09-01,4760637.0,4879686.666666667
2024-10-01,5278533.0,4954565.666666667
2024-11-01,4808488.0,4949219.333333333
2024-12-01,4976884.0,5021301.666666667
2025-01-01,5190321.0,4991897.666666667
2025-02-01,4532437.0,4899880.666666667
2025-03-01,4914329.0,4879029.0
2025-04-01,5004110.0,4816958.666666667
2025-05-01,5055522.0,4991320.333333333
2025-06-01,4999759.0,5019797.0
2025-07-01,5319705.0,5124995.333333333
2025-08-01,4724857.0,5014773.666666667
2025-09-01,5267710.0,5104090.666666667
2025-10-01,5227817.0,5073461.333333333
2025-11-01,4855656.0,5117061.0
2025-12-01,5343375.0,5142282.666666667
2026-01-01,5098907.0,5099312.666666667
2026-02-28,,5099312.666666667
2026-03-31,,5099312.666666667
2026-04-30,,5099312.666666667
