date,quantity,forecast
2021-02-01,3386421.0,
2021-03-01,3841680.0,
2021-04-01,3661600.0,3629900.3333333335
2021-05-01,3476338.0,3659872.6666666665
2021-06-01,3725811.0,3621249.6666666665
2021-07-01,3776345.0,3659498.0
2021-08-01,3493800.0,3665318.6666666665
2021-09-01,3799287.0,3689810.6666666665
2021-10-01,3534598.0,3609228.3333333335
2021-11-01,3756980.0,3696955.0
2021-12-01,3893019.0,3728199.0
2022-01-01,3662669.0,3770889.3333333335
2022-02-01,3438385.0,3664691.0
2022-03-01,3893411.0,3664821.6666666665
2022-04-01,3630295.0,3654030.3333333335
2022-05-01,3831497.0,3785067.6666666665
2022-06-01,3700043.0,3720611.6666666665
2022-07-01,3677713.0,3736417.6666666665
2022-08-01,3805922.0,3727892.6666666665
2022-09-01,3728663.0,3737432.6666666665
2022-10-01,3806316.0,3780300.3333333335
2022-11-01,3893937.0,3809638.6666666665
2022-12-01,3855076.0,3851776.3333333335
2023-01-01,3860015.0,3869676.0
2023-02-01,3582208.0,3765766.3333333335
2023-03-01,3938327.0,3793516.6666666665
2023-04-01,3658265.0,3726266.6666666665
2023-05-01,3863021.0,3819871.0
2023-06-01,3918170.0,3813152.0
2023-07-01,3794027.0,3858406.0
2023-08-01,3951150.0,3887782.3333333335
2023-09-01,3765475.0,3836884.0
2023-10-01,3882579.0,3866401.3333333335
2023-11-01,4087996.0,3912016.6666666665
2023-12-01,4014596.0,3995057.0
2024-01-01,4090071.0,4064221.0
2024-02-01,3759357.0,3954674.6666666665
2024-03-01,3839645.0,3896357.6666666665
2024-04-01,3924473.0,3841158.3333333335
2024-05-01,4127870.0,3963996.0
2024-06-01,3773051.0,3941798.0
2024-07-01,4147499.0,4016140.0
2024-08-01,3989567.0,3970039.0
2024-09-01,3909359.0,4015475.0
2024-10-01,4227167.0,4042031.0
2024-11-01,4012672.0,4049732.6666666665
2024-12-01,4173710.0,4137849.6666666665
2025-01-01,4238780.0,4141720.6666666665
2025-02-01,3720513.0,4044334.3333333335
2025-03-01,4018113.0,3992468.6666666665
2025-04-01,3989492.0,3909372.6666666665
2025-05-01,4294657.0,4100754.0
2025-06-01,4038065.0,4107404.6666666665
2025-07-01,4360876.0,4231199.333333333
2025-08-01,3955364.0,4118101.6666666665
2025-09-01,4145391.0,4153877.0
2025-10-01,4329951.0,4143568.6666666665
2025-11-01,4051464.0,4175602.0
2025-12-01,4400848.0,4260754.333333333
2026-01-01,4314529.0,4255613.666666667
2026-02-28,,4255613.666666667
2026-03-31,,4255613.666666667
2026-04-30,,4255613.666666667
