date,quantity,forecast
2021-02-01,2751343.0,
2021-03-01,3006040.0,
2021-04-01,2937654.0,2898345.6666666665
2021-05-01,2774204.0,2905966.0
2021-06-01,3051870.0,2921242.6666666665
2021-07-01,2943509.0,2923194.3333333335
2021-08-01,2887524.0,2960967.6666666665
2021-09-01,3025603.0,2952212.0
2021-10-01,2746047.0,2886391.3333333335
2021-11-01,3042794.0,2938148.0
2021-12-01,3114417.0,2967752.6666666665
2022-01-01,2876337.0,3011182.6666666665
2022-02-01,2764783.0,2918512.3333333335
2022-03-01,3076923.0,2906014.3333333335
2022-04-01,2865253.0,2902319.6666666665
2022-05-01,2952171.0,2964782.3333333335
2022-06-01,2819327.0,2878917.0
2022-07-01,2988782.0,2920093.3333333335
2022-08-01,3029198.0,2945769.0
2022-09-01,2955137.0,2991039.0
2022-10-01,2683450.0,2889261.6666666665
2022-11-01,3089767.0,2909451.3333333335
2022-12-01,3124235.0,2965817.3333333335
2023-01-01,2937615.0,3050539.0
2023-02-01,2775599.0,2945816.3333333335
2023-03-01,3265567.0,2992927.0
2023-04-01,2881030.0,2974065.3333333335
2023-05-01,2978404.0,3041667.0
2023-06-01,3016203.0,2958545.6666666665
2023-07-01,3028938.0,3007848.3333333335
2023-08-01,3118841.0,3054660.6666666665
2023-09-01,2998111.0,3048630.0
2023-10-01,3145427.0,3087459.6666666665
2023-11-01,3193478.0,3112338.6666666665
2023-12-01,3134278.0,3157727.6666666665
2024-01-01,3220240.0,3182665.3333333335
2024-02-01,3066419.0,3140312.3333333335
2024-03-01,3110216.0,3132291.6666666665
2024-04-01,3178439.0,3118358.0
2024-05-01,3268987.0,3185880.6666666665
2024-06-01,3008521.0,3151982.3333333335
2024-07-01,3187314.0,3154940.6666666665
2024-08-01,3158589.0,3118141.3333333335
2024-09-01,3065017.0,3136973.3333333335
2024-10-01,3287266.0,3170290.6666666665
2024-11-01,3108131.0,3153471.3333333335
2024-12-01,3281071.0,3225489.3333333335
2025-01-01,3305001.0,3231401.0
2025-02-01,2932538.0,3172870.0
2025-03-01,3042401.0,3093313.3333333335
2025-04-01,3099809.0,3024916.0
2025-05-01,3224288.0,3122166.0
2025-06-01,3071208.0,3131768.3333333335
2025-07-01,3405491.0,3233662.3333333335
2025-08-01,3105646.0,3194115.0
2025-09-01,3203275.0,3238137.3333333335
2025-10-01,3314567.0,3207829.3333333335
2025-11-01,3047435.0,3188425.6666666665
2025-12-01,3373329.0,3245110.3333333335
2026-01-01,3270980.0,3230581.3333333335
2026-02-28,,3230581.3333333335
2026-03-31,,3230581.3333333335
2026-04-30,,3230581.3333333335
