date,quantity,forecast
2021-02-01,2396649.0,
2021-03-01,2422301.0,
2021-04-01,2562352.0,2460434.0
2021-05-01,2348708.0,2444453.6666666665
2021-06-01,2502360.0,2471140.0
2021-07-01,2496598.0,2449222.0
2021-08-01,2444288.0,2481082.0
2021-09-01,2543683.0,2494856.3333333335
2021-10-01,2420107.0,2469359.3333333335
2021-11-01,2504735.0,2489508.3333333335
2021-12-01,2607141.0,2510661.0
2022-01-01,2422723.0,2511533.0
2022-02-01,2204832.0,2411565.3333333335
2022-03-01,2652131.0,2426562.0
2022-04-01,2541211.0,2466058.0
2022-05-01,2448318.0,2547220.0
2022-06-01,2508522.0,2499350.3333333335
2022-07-01,2488194.0,2481678.0
2022-08-01,2559912.0,2518876.0
2022-09-01,2572037.0,2540047.6666666665
2022-10-01,2436150.0,2522699.6666666665
2022-11-01,2577070.0,2528419.0
2022-12-01,2545242.0,2519487.3333333335
2023-01-01,2529964.0,2550758.6666666665
2023-02-01,2450115.0,2508440.3333333335
2023-03-01,2732369.0,2570816.0
2023-04-01,2504542.0,2562342.0
2023-05-01,2547015.0,2594642.0
2023-06-01,2639058.0,2563538.3333333335
2023-07-01,2534086.0,2573386.3333333335
2023-08-01,2279537.0,2484227.0
2023-09-01,2483031.0,2432218.0
2023-10-01,2808382.0,2523650.0
2023-11-01,2789012.0,2693475.0
2023-12-01,2643598.0,2746997.3333333335
2024-01-01,2732833.0,2721814.3333333335
2024-02-01,2577242.0,2651224.3333333335
2024-03-01,2516750.0,2608941.6666666665
2024-04-01,2767283.0,2620425.0
2024-05-01,2723277.0,2669103.3333333335
2024-06-01,2597833.0,2696131.0
2024-07-01,2832374.0,2717828.0
2024-08-01,2669111.0,2699772.6666666665
2024-09-01,2617835.0,2706440.0
2024-10-01,2823476.0,2703474.0
2024-11-01,2651345.0,2697552.0
2024-12-01,2768829.0,2747883.3333333335
2025-01-01,2827499.0,2749224.3333333335
2025-02-01,2543697.0,2713341.6666666665
2025-03-01,2674391.0,2681862.3333333335
2025-04-01,2691629.0,2636572.3333333335
2025-05-01,2773618.0,2713212.6666666665
2025-06-01,2677954.0,2714400.3333333335
2025-07-01,2871512.0,2774361.3333333335
2025-08-01,2646365.0,2731943.6666666665
2025-09-01,2851821.0,2789899.3333333335
2025-10-01,2924922.0,2807702.6666666665
2025-11-01,2632872.0,2803205.0
2025-12-01,3039230.0,2865674.6666666665
2026-01-01,2828333.0,2833478.3333333335
2026-02-28,,2833478.3333333335
2026-03-31,,2833478.3333333335
2026-04-30,,2833478.3333333335
