date,quantity,forecast
2021-02-01,3056960.0,
2021-03-01,3506347.0,
2021-04-01,3344761.0,3302689.3333333335
2021-05-01,3139961.0,3330356.3333333335
2021-06-01,3376713.0,3287145.0
2021-07-01,3322367.0,3279680.3333333335
2021-08-01,3294823.0,3331301.0
2021-09-01,3441786.0,3352992.0
2021-10-01,3218384.0,3318331.0
2021-11-01,3424492.0,3361554.0
2021-12-01,3489731.0,3377535.6666666665
2022-01-01,3381828.0,3432017.0
2022-02-01,3140582.0,3337380.3333333335
2022-03-01,3633701.0,3385370.3333333335
2022-04-01,3256665.0,3343649.3333333335
2022-05-01,3454643.0,3448336.3333333335
2022-06-01,3271375.0,3327561.0
2022-07-01,3341118.0,3355712.0
2022-08-01,3408916.0,3340469.6666666665
2022-09-01,3466971.0,3405668.3333333335
2022-10-01,3341427.0,3405771.3333333335
2022-11-01,3341753.0,3383383.6666666665
2022-12-01,3475835.0,3386338.3333333335
2023-01-01,3527366.0,3448318.0
2023-02-01,3208360.0,3403853.6666666665
2023-03-01,3681812.0,3472512.6666666665
2023-04-01,3313725.0,3401299.0
2023-05-01,3442356.0,3479297.6666666665
2023-06-01,3601950.0,3452677.0
2023-07-01,3404267.0,3482857.6666666665
2023-08-01,3470847.0,3492354.6666666665
2023-09-01,3348049.0,3407721.0
2023-10-01,3572576.0,3463824.0
2023-11-01,3522318.0,3480981.0
2023-12-01,3467143.0,3520679.0
2024-01-01,3692781.0,3560747.3333333335
2024-02-01,3414857.0,3524927.0
2024-03-01,3439963.0,3515867.0
2024-04-01,3590546.0,3481788.6666666665
2024-05-01,3755943.0,3595484.0
2024-06-01,3450503.0,3598997.3333333335
2024-07-01,3780037.0,3662161.0
2024-08-01,3609032.0,3613190.6666666665
2024-09-01,3552166.0,3647078.3333333335
2024-10-01,3788057.0,3649751.6666666665
2024-11-01,3653525.0,3664582.6666666665
2024-12-01,3715771.0,3719117.6666666665
2025-01-01,3800618.0,3723304.6666666665
2025-02-01,3302370.0,3606253.0
2025-03-01,3639223.0,3580737.0
2025-04-01,3585205.0,3508932.6666666665
2025-05-01,3624377.0,3616268.3333333335
2025-06-01,3575793.0,3595125.0
2025-07-01,3834779.0,3678316.3333333335
2025-08-01,3511606.0,3640726.0
2025-09-01,3707514.0,3684633.0
2025-10-01,3771225.0,3663448.3333333335
2025-11-01,3404591.0,3627776.6666666665
2025-12-01,3818700.0,3664838.6666666665
2026-01-01,3656195.0,3626495.3333333335
2026-02-28,,3626495.3333333335
2026-03-31,,3626495.3333333335
2026-04-30,,3626495.3333333335
