date,quantity,forecast
2021-02-01,4613324.0,
2021-03-01,5131224.0,
2021-04-01,4931736.0,4892094.666666667
2021-05-01,4846194.0,4969718.0
2021-06-01,5010912.0,4929614.0
2021-07-01,5055045.0,4970717.0
2021-08-01,4834409.0,4966788.666666667
2021-09-01,5093234.0,4994229.333333333
2021-10-01,4839158.0,4922267.0
2021-11-01,4943130.0,4958507.333333333
2021-12-01,5223717.0,5002001.666666667
2022-01-01,5039661.0,5068836.0
2022-02-01,4628765.0,4964047.666666667
2022-03-01,5089354.0,4919260.0
2022-04-01,4809754.0,4842624.333333333
2022-05-01,5039015.0,4979374.333333333
2022-06-01,4997029.0,4948599.333333333
2022-07-01,4928960.0,4988334.666666667
2022-08-01,4906657.0,4944215.333333333
2022-09-01,4927420.0,4921012.333333333
2022-10-01,4912077.0,4915384.666666667
2022-11-01,4942978.0,4927491.666666667
2022-12-01,5029843.0,4961632.666666667
2023-01-01,5106768.0,5026529.666666667
2023-02-01,4529599.0,4888736.666666667
2023-03-01,5314214.0,4983527.0
2023-04-01,4710960.0,4851591.0
2023-05-01,4836942.0,4954038.666666667
2023-06-01,5026967.0,4858289.666666667
2023-07-01,4883839.0,4915916.0
2023-08-01,4981107.0,4963971.0
2023-09-01,4882334.0,4915760.0
2023-10-01,4842244.0,4901895.0
2023-11-01,5052774.0,4925784.0
2023-12-01,4976660.0,4957226.0
2024-01-01,5131623.0,5053685.666666667
2024-02-01,4679485.0,4929256.0
2024-03-01,4965591.0,4925566.333333333
2024-04-01,5057384.0,4900820.0
2024-05-01,5023120.0,5015365.0
2024-06-01,4862846.0,4981116.666666667
2024-07-01,5206844.0,5030936.666666667
2024-08-01,5032591.0,5034093.666666667
2024-09-01,4837067.0,5025500.666666667
2024-10-01,5216786.0,5028814.666666667
2024-11-01,4864484.0,4972779.0
2024-12-01,5103733.0,5061667.666666667
2025-01-01,5195967.0,5054728.0
2025-02-01,4565477.0,4955059.0
2025-03-01,4977776.0,4913073.333333333
2025-04-01,4840860.0,4794704.333333333
2025-05-01,5164244.0,4994293.333333333
2025-06-01,4964567.0,4989890.333333333
2025-07-01,5214881.0,5114564.0
2025-08-01,4899254.0,5026234.0
2025-09-01,5067411.0,5060515.333333333
2025-10-01,5186690.0,5051118.333333333
2025-11-01,4746002.0,5000034.333333333
2025-12-01,5324695.0,5085795.666666667
2026-01-01,5087687.0,5052794.666666667
2026-02-28,,5052794.666666667
2026-03-31,,5052794.666666667
2026-04-30,,5052794.666666667
