date,quantity,forecast
2021-02-01,18078104.0,
2021-03-01,20278935.0,
2021-04-01,19386682.0,19247907.0
2021-05-01,18445070.0,19370229.0
2021-06-01,19495834.0,19109195.333333332
2021-07-01,19784001.0,19241635.0
2021-08-01,18546200.0,19275345.0
2021-09-01,19837935.0,19389378.666666668
2021-10-01,18868596.0,19084243.666666668
2021-11-01,19533719.0,19413416.666666668
2021-12-01,20472661.0,19624992.0
2022-01-01,19279346.0,19761908.666666668
2022-02-01,17791846.0,19181284.333333332
2022-03-01,20374124.0,19148438.666666668
2022-04-01,18833854.0,18999941.333333332
2022-05-01,19736869.0,19648282.333333332
2022-06-01,19308780.0,19293167.666666668
2022-07-01,18985875.0,19343841.333333332
2022-08-01,19348675.0,19214443.333333332
2022-09-01,19215631.0,19183393.666666668
2022-10-01,19007191.0,19190499.0
2022-11-01,19402401.0,19208407.666666668
2022-12-01,19683309.0,19364300.333333332
2023-01-01,19386807.0,19490839.0
2023-02-01,17719689.0,18929935.0
2023-03-01,20527446.0,19211314.0
2023-04-01,18315156.0,18854097.0
2023-05-01,19388022.0,19410208.0
2023-06-01,19330836.0,19011338.0
2023-07-01,19095658.0,19271505.333333332
2023-08-01,19401310.0,19275934.666666668
2023-09-01,19082272.0,19193080.0
2023-10-01,19450647.0,19311409.666666668
2023-11-01,19643964.0,19392294.333333332
2023-12-01,19845931.0,19646847.333333332
2024-01-01,20146169.0,19878688.0
2024-02-01,18710313.0,19567471.0
2024-03-01,19142683.0,19333055.0
2024-04-01,19803197.0,19218731.0
2024-05-01,20033344.0,19659741.333333332
2024-06-01,18783661.0,19540067.333333332
2024-07-01,20497887.0,19771630.666666668
2024-08-01,19335975.0,19539174.333333332
2024-09-01,19238651.0,19690837.666666668
2024-10-01,20106765.0,19560463.666666668
2024-11-01,19437738.0,19594384.666666668
2024-12-01,19881749.0,19808750.666666668
2025-01-01,20272470.0,19863985.666666668
2025-02-01,18071173.0,19408464.0
2025-03-01,19346279.0,19229974.0
2025-04-01,18940433.0,18785961.666666668
2025-05-01,19962119.0,19416277.0
2025-06-01,19161895.0,19354815.666666668
2025-07-01,20306962.0,19810325.333333332
2025-08-01,18636306.0,19368387.666666668
2025-09-01,19609070.0,19517446.0
2025-10-01,20309249.0,19518208.333333332
2025-11-01,18696398.0,19538239.0
2025-12-01,20915526.0,19973724.333333332
2026-01-01,19928158.0,19846694.0
2026-02-28,,19846694.0
2026-03-31,,19846694.0
2026-04-30,,19846694.0
