date,quantity,forecast
2021-02-01,5256179.0,
2021-03-01,6205713.0,
2021-04-01,5817639.0,5759843.666666667
2021-05-01,5553147.0,5858833.0
2021-06-01,5959742.0,5776842.666666667
2021-07-01,5732450.0,5748446.333333333
2021-08-01,5670370.0,5787520.666666667
2021-09-01,5859863.0,5754227.666666667
2021-10-01,5632536.0,5720923.0
2021-11-01,5834065.0,5775488.0
2021-12-01,5964031.0,5810210.666666667
2022-01-01,5886415.0,5894837.0
2022-02-01,5539303.0,5796583.0
2022-03-01,6222159.0,5882625.666666667
2022-04-01,5630798.0,5797420.0
2022-05-01,6027773.0,5960243.333333333
2022-06-01,5819359.0,5825976.666666667
2022-07-01,5675323.0,5840818.333333333
2022-08-01,5809774.0,5768152.0
2022-09-01,5914817.0,5799971.333333333
2022-10-01,5918855.0,5881148.666666667
2022-11-01,6182136.0,6005269.333333333
2022-12-01,5993664.0,6031551.666666667
2023-01-01,5989883.0,6055227.666666667
2023-02-01,5569029.0,5850858.666666667
2023-03-01,6453824.0,6004245.333333333
2023-04-01,5542021.0,5854958.0
2023-05-01,6053689.0,6016511.333333333
2023-06-01,6164221.0,5919977.0
2023-07-01,6061874.0,6093261.333333333
2023-08-01,6174742.0,6133612.333333333
2023-09-01,5890675.0,6042430.333333333
2023-10-01,6489632.0,6185016.333333333
2023-11-01,6219212.0,6199839.666666667
2023-12-01,6113704.0,6274182.666666667
2024-01-01,6496401.0,6276439.0
2024-02-01,5962866.0,6190990.333333333
2024-03-01,5968761.0,6142676.0
2024-04-01,6391648.0,6107758.333333333
2024-05-01,6374653.0,6245020.666666667
2024-06-01,5957198.0,6241166.333333333
2024-07-01,6450078.0,6260643.0
2024-08-01,6244572.0,6217282.666666667
2024-09-01,6222512.0,6305720.666666667
2024-10-01,6642074.0,6369719.333333333
2024-11-01,6185646.0,6350077.333333333
2024-12-01,6498182.0,6441967.333333333
2025-01-01,6524327.0,6402718.333333333
2025-02-01,5748094.0,6256867.666666667
2025-03-01,6479714.0,6250711.666666667
2025-04-01,6391190.0,6206332.666666667
2025-05-01,6312703.0,6394535.666666667
2025-06-01,6253276.0,6319056.333333333
2025-07-01,6673496.0,6413158.333333333
2025-08-01,6065879.0,6330883.666666667
2025-09-01,6737132.0,6492169.0
2025-10-01,6657510.0,6486840.333333333
2025-11-01,6324478.0,6573040.0
2025-12-01,6834147.0,6605378.333333333
2026-01-01,6726687.0,6628437.333333333
2026-02-28,,6628437.333333333
2026-03-31,,6628437.333333333
2026-04-30,,6628437.333333333
