date,quantity,forecast
2021-02-01,3120130.0,
2021-03-01,3415515.0,
2021-04-01,3411715.0,3315786.6666666665
2021-05-01,3189768.0,3338999.3333333335
2021-06-01,3350986.0,3317489.6666666665
2021-07-01,3422156.0,3320970.0
2021-08-01,3293763.0,3355635.0
2021-09-01,3482039.0,3399319.3333333335
2021-10-01,3251135.0,3342312.3333333335
2021-11-01,3415675.0,3382949.6666666665
2021-12-01,3613001.0,3426603.6666666665
2022-01-01,3354277.0,3460984.3333333335
2022-02-01,3164635.0,3377304.3333333335
2022-03-01,3620140.0,3379684.0
2022-04-01,3332783.0,3372519.3333333335
2022-05-01,3399972.0,3450965.0
2022-06-01,3366820.0,3366525.0
2022-07-01,3362877.0,3376556.3333333335
2022-08-01,3463171.0,3397622.6666666665
2022-09-01,3506737.0,3444261.6666666665
2022-10-01,3356155.0,3442021.0
2022-11-01,3426847.0,3429913.0
2022-12-01,3513582.0,3432194.6666666665
2023-01-01,3484002.0,3474810.3333333335
2023-02-01,3226599.0,3408061.0
2023-03-01,3754821.0,3488474.0
2023-04-01,3264542.0,3415320.6666666665
2023-05-01,3532263.0,3517208.6666666665
2023-06-01,3517281.0,3438028.6666666665
2023-07-01,3467496.0,3505680.0
2023-08-01,3425866.0,3470214.3333333335
2023-09-01,3349989.0,3414450.3333333335
2023-10-01,3793993.0,3523282.6666666665
2023-11-01,3688412.0,3610798.0
2023-12-01,3673718.0,3718707.6666666665
2024-01-01,3785245.0,3715791.6666666665
2024-02-01,3514733.0,3657898.6666666665
2024-03-01,3571696.0,3623891.3333333335
2024-04-01,3818195.0,3634874.6666666665
2024-05-01,3804747.0,3731546.0
2024-06-01,3567573.0,3730171.6666666665
2024-07-01,3870320.0,3747546.6666666665
2024-08-01,3747083.0,3728325.3333333335
2024-09-01,3665392.0,3760931.6666666665
2024-10-01,3873955.0,3762143.3333333335
2024-11-01,3761026.0,3766791.0
2024-12-01,3821425.0,3818802.0
2025-01-01,3927677.0,3836709.3333333335
2025-02-01,3497120.0,3748740.6666666665
2025-03-01,3712901.0,3712566.0
2025-04-01,3724988.0,3645003.0
2025-05-01,3811307.0,3749732.0
2025-06-01,3763655.0,3766650.0
2025-07-01,4067854.0,3880938.6666666665
2025-08-01,3659744.0,3830417.6666666665
2025-09-01,3882430.0,3870009.3333333335
2025-10-01,4041970.0,3861381.3333333335
2025-11-01,3665400.0,3863266.6666666665
2025-12-01,4180477.0,3962615.6666666665
2026-01-01,3898890.0,3914922.3333333335
2026-02-28,,3914922.3333333335
2026-03-31,,3914922.3333333335
2026-04-30,,3914922.3333333335
