date,quantity,forecast
2021-02-01,11976698.0,
2021-03-01,13326292.0,
2021-04-01,12834965.0,12712651.666666666
2021-05-01,12199783.0,12787013.333333334
2021-06-01,13116292.0,12717013.333333334
2021-07-01,12858081.0,12724718.666666666
2021-08-01,12476126.0,12816833.0
2021-09-01,12993309.0,12775838.666666666
2021-10-01,12108159.0,12525864.666666666
2021-11-01,13125458.0,12742308.666666666
2021-12-01,13476895.0,12903504.0
2022-01-01,12619627.0,13073993.333333334
2022-02-01,11906467.0,12667663.0
2022-03-01,13323134.0,12616409.333333334
2022-04-01,12587559.0,12605720.0
2022-05-01,12856916.0,12922536.333333334
2022-06-01,12750879.0,12731784.666666666
2022-07-01,12467764.0,12691853.0
2022-08-01,13118730.0,12779124.333333334
2022-09-01,12552274.0,12712922.666666666
2022-10-01,12530715.0,12733906.333333334
2022-11-01,13082107.0,12721698.666666666
2022-12-01,12842618.0,12818480.0
2023-01-01,13570697.0,13165140.666666666
2023-02-01,11929664.0,12780993.0
2023-03-01,13850805.0,13117055.333333334
2023-04-01,12354929.0,12711799.333333334
2023-05-01,12917319.0,13041017.666666666
2023-06-01,13250850.0,12841032.666666666
2023-07-01,12966967.0,13045045.333333334
2023-08-01,12885463.0,13034426.666666666
2023-09-01,12284767.0,12712399.0
2023-10-01,13514144.0,12894791.333333334
2023-11-01,13504166.0,13101025.666666666
2023-12-01,13473174.0,13497161.333333334
2024-01-01,13993104.0,13656814.666666666
2024-02-01,13186230.0,13550836.0
2024-03-01,12981633.0,13386989.0
2024-04-01,13595489.0,13254450.666666666
2024-05-01,14118249.0,13565123.666666666
2024-06-01,12851455.0,13521731.0
2024-07-01,14176598.0,13715434.0
2024-08-01,13586671.0,13538241.333333334
2024-09-01,13144641.0,13635970.0
2024-10-01,14193290.0,13641534.0
2024-11-01,13549757.0,13629229.333333334
2024-12-01,13786860.0,13843302.333333334
2025-01-01,14277632.0,13871416.333333334
2025-02-01,12571507.0,13545333.0
2025-03-01,13340751.0,13396630.0
2025-04-01,13345136.0,13085798.0
2025-05-01,14056539.0,13580808.666666666
2025-06-01,13461718.0,13621131.0
2025-07-01,14206236.0,13908164.333333334
2025-08-01,13082892.0,13583615.333333334
2025-09-01,13897929.0,13729019.0
2025-10-01,14081070.0,13687297.0
2025-11-01,12788386.0,13589128.333333334
2025-12-01,14187518.0,13685658.0
2026-01-01,14123144.0,13699682.666666666
2026-02-28,,13699682.666666666
2026-03-31,,13699682.666666666
2026-04-30,,13699682.666666666
