date,quantity,forecast
2021-02-01,12015738.0,
2021-03-01,13635447.0,
2021-04-01,13231920.0,12961035.0
2021-05-01,12680743.0,13182703.333333334
2021-06-01,13349867.0,13087510.0
2021-07-01,13065229.0,13031946.333333334
2021-08-01,12813513.0,13076203.0
2021-09-01,13283599.0,13054113.666666666
2021-10-01,12540352.0,12879154.666666666
2021-11-01,13119472.0,12981141.0
2021-12-01,13871064.0,13176962.666666666
2022-01-01,13095053.0,13361863.0
2022-02-01,12249691.0,13071936.0
2022-03-01,13658404.0,13001049.333333334
2022-04-01,13015925.0,12974673.333333334
2022-05-01,13223256.0,13299195.0
2022-06-01,13055043.0,13098074.666666666
2022-07-01,13094993.0,13124430.666666666
2022-08-01,13155787.0,13101941.0
2022-09-01,13262160.0,13170980.0
2022-10-01,13031142.0,13149696.333333334
2022-11-01,13506081.0,13266461.0
2022-12-01,13462575.0,13333266.0
2023-01-01,13531364.0,13500006.666666666
2023-02-01,12195080.0,13063006.333333334
2023-03-01,14084078.0,13270174.0
2023-04-01,12546898.0,12942018.666666666
2023-05-01,13313252.0,13314742.666666666
2023-06-01,13546889.0,13135679.666666666
2023-07-01,13165079.0,13341740.0
2023-08-01,13344585.0,13352184.333333334
2023-09-01,13152927.0,13220863.666666666
2023-10-01,13333749.0,13277087.0
2023-11-01,13813213.0,13433296.333333334
2023-12-01,13905327.0,13684096.333333334
2024-01-01,14135750.0,13951430.0
2024-02-01,13175471.0,13738849.333333334
2024-03-01,13329094.0,13546771.666666666
2024-04-01,14237629.0,13580731.333333334
2024-05-01,14087322.0,13884681.666666666
2024-06-01,13461021.0,13928657.333333334
2024-07-01,14281100.0,13943147.666666666
2024-08-01,13837201.0,13859774.0
2024-09-01,13725719.0,13948006.666666666
2024-10-01,14349422.0,13970780.666666666
2024-11-01,14066075.0,14047072.0
2024-12-01,14161498.0,14192331.666666666
2025-01-01,14714604.0,14314059.0
2025-02-01,12970019.0,13948707.0
2025-03-01,13890597.0,13858406.666666666
2025-04-01,13757974.0,13539530.0
2025-05-01,14468000.0,14038857.0
2025-06-01,14199415.0,14141796.333333334
2025-07-01,14667675.0,14445030.0
2025-08-01,13529258.0,14132116.0
2025-09-01,14264184.0,14153705.666666666
2025-10-01,14848477.0,14213973.0
2025-11-01,13724492.0,14279051.0
2025-12-01,15077478.0,14550149.0
2026-01-01,14810055.0,14537341.666666666
2026-02-28,,14537341.666666666
2026-03-31,,14537341.666666666
2026-04-30,,14537341.666666666
