date,quantity,forecast
2021-02-01,8102694.0,
2021-03-01,9092371.0,
2021-04-01,8650303.0,8615122.666666666
2021-05-01,8189460.0,8644044.666666666
2021-06-01,8822439.0,8554067.333333334
2021-07-01,8675864.0,8562587.666666666
2021-08-01,8349665.0,8615989.333333334
2021-09-01,8757015.0,8594181.333333334
2021-10-01,8329313.0,8478664.333333334
2021-11-01,8662865.0,8583064.333333334
2021-12-01,8880227.0,8624135.0
2022-01-01,8682574.0,8741888.666666666
2022-02-01,7865420.0,8476073.666666666
2022-03-01,8978447.0,8508813.666666666
2022-04-01,8346185.0,8396684.0
2022-05-01,8554142.0,8626258.0
2022-06-01,8621098.0,8507141.666666666
2022-07-01,8412967.0,8529402.333333334
2022-08-01,8683962.0,8572675.666666666
2022-09-01,8731584.0,8609504.333333334
2022-10-01,8688136.0,8701227.333333334
2022-11-01,8421825.0,8613848.333333334
2022-12-01,8844263.0,8651408.0
2023-01-01,8811323.0,8692470.333333334
2023-02-01,8040045.0,8565210.333333334
2023-03-01,9337266.0,8729544.666666666
2023-04-01,8141870.0,8506393.666666666
2023-05-01,8883824.0,8787653.333333334
2023-06-01,8743577.0,8589757.0
2023-07-01,8811672.0,8813024.333333334
2023-08-01,8683350.0,8746199.666666666
2023-09-01,8551702.0,8682241.333333334
2023-10-01,9056969.0,8764007.0
2023-11-01,8988659.0,8865776.666666666
2023-12-01,8787466.0,8944364.666666666
2024-01-01,9296825.0,9024316.666666666
2024-02-01,8614925.0,8899738.666666666
2024-03-01,8828425.0,8913391.666666666
2024-04-01,9026134.0,8823161.333333334
2024-05-01,9247588.0,9034049.0
2024-06-01,8607335.0,8960352.333333334
2024-07-01,9516925.0,9123949.333333334
2024-08-01,9007650.0,9043970.0
2024-09-01,9034617.0,9186397.333333334
2024-10-01,9623815.0,9222027.333333334
2024-11-01,9062756.0,9240396.0
2024-12-01,9167833.0,9284801.333333334
2025-01-01,9597143.0,9275910.666666666
2025-02-01,8370941.0,9045305.666666666
2025-03-01,9111715.0,9026599.666666666
2025-04-01,9076541.0,8853065.666666666
2025-05-01,9250736.0,9146330.666666666
2025-06-01,9053558.0,9126945.0
2025-07-01,9669530.0,9324608.0
2025-08-01,8869821.0,9197636.333333334
2025-09-01,9504424.0,9347925.0
2025-10-01,9728798.0,9367681.0
2025-11-01,8904758.0,9379326.666666666
2025-12-01,9646300.0,9426618.666666666
2026-01-01,9476424.0,9342494.0
2026-02-28,,9342494.0
2026-03-31,,9342494.0
2026-04-30,,9342494.0
