date,quantity,forecast
2021-02-01,3315550.0,
2021-03-01,3691905.0,
2021-04-01,3498119.0,3501858.0
2021-05-01,3407444.0,3532489.3333333335
2021-06-01,3647336.0,3517633.0
2021-07-01,3585809.0,3546863.0
2021-08-01,3487290.0,3573478.3333333335
2021-09-01,3602588.0,3558562.3333333335
2021-10-01,3478706.0,3522861.3333333335
2021-11-01,3471316.0,3517536.6666666665
2021-12-01,3723308.0,3557776.6666666665
2022-01-01,3572882.0,3589168.6666666665
2022-02-01,3271372.0,3522520.6666666665
2022-03-01,3701191.0,3515148.3333333335
2022-04-01,3435574.0,3469379.0
2022-05-01,3664529.0,3600431.3333333335
2022-06-01,3554695.0,3551599.3333333335
2022-07-01,3454962.0,3558062.0
2022-08-01,3517087.0,3508914.6666666665
2022-09-01,3572824.0,3514957.6666666665
2022-10-01,3518091.0,3536000.6666666665
2022-11-01,3526785.0,3539233.3333333335
2022-12-01,3603170.0,3549348.6666666665
2023-01-01,3623352.0,3584435.6666666665
2023-02-01,3269072.0,3498531.3333333335
2023-03-01,3827520.0,3573314.6666666665
2023-04-01,3396490.0,3497694.0
2023-05-01,3568617.0,3597542.3333333335
2023-06-01,3639826.0,3534977.6666666665
2023-07-01,3532114.0,3580185.6666666665
2023-08-01,3673321.0,3615087.0
2023-09-01,3612732.0,3606055.6666666665
2023-10-01,3595318.0,3627123.6666666665
2023-11-01,3693400.0,3633816.6666666665
2023-12-01,3645875.0,3644864.3333333335
2024-01-01,3720469.0,3686581.3333333335
2024-02-01,3464848.0,3610397.3333333335
2024-03-01,3514682.0,3566666.3333333335
2024-04-01,3663400.0,3547643.3333333335
2024-05-01,3735148.0,3637743.3333333335
2024-06-01,3485986.0,3628178.0
2024-07-01,3758400.0,3659844.6666666665
2024-08-01,3633891.0,3626092.3333333335
2024-09-01,3609651.0,3667314.0
2024-10-01,3814524.0,3686022.0
2024-11-01,3586418.0,3670197.6666666665
2024-12-01,3720959.0,3707300.3333333335
2025-01-01,3807353.0,3704910.0
2025-02-01,3387900.0,3638737.3333333335
2025-03-01,3625417.0,3606890.0
2025-04-01,3632343.0,3548553.3333333335
2025-05-01,3684013.0,3647257.6666666665
2025-06-01,3663797.0,3660051.0
2025-07-01,3828925.0,3725578.3333333335
2025-08-01,3525264.0,3672662.0
2025-09-01,3707879.0,3687356.0
2025-10-01,3879614.0,3704252.3333333335
2025-11-01,3575096.0,3720863.0
2025-12-01,3903287.0,3785999.0
2026-01-01,3758689.0,3745690.6666666665
2026-02-28,,3745690.6666666665
2026-03-31,,3745690.6666666665
2026-04-30,,3745690.6666666665
