date,quantity,forecast
2021-02-01,4103556.0,
2021-03-01,4691728.0,
2021-04-01,4383354.0,4392879.333333333
2021-05-01,4276595.0,4450559.0
2021-06-01,4430768.0,4363572.333333333
2021-07-01,4450402.0,4385921.666666667
2021-08-01,4297351.0,4392840.333333333
2021-09-01,4500309.0,4416020.666666667
2021-10-01,4288600.0,4362086.666666667
2021-11-01,4327193.0,4372034.0
2021-12-01,4656249.0,4424014.0
2022-01-01,4351456.0,4444966.0
2022-02-01,4115751.0,4374485.333333333
2022-03-01,4767417.0,4411541.333333333
2022-04-01,4257901.0,4380356.333333333
2022-05-01,4466839.0,4497385.666666667
2022-06-01,4415365.0,4380035.0
2022-07-01,4350280.0,4410828.0
2022-08-01,4345496.0,4370380.333333333
2022-09-01,4484528.0,4393434.666666667
2022-10-01,4407101.0,4412375.0
2022-11-01,4495528.0,4462385.666666667
2022-12-01,4567590.0,4490073.0
2023-01-01,4450359.0,4504492.333333333
2023-02-01,4065311.0,4361086.666666667
2023-03-01,4744677.0,4420115.666666667
2023-04-01,4170049.0,4326679.0
2023-05-01,4227183.0,4380636.333333333
2023-06-01,4413969.0,4270400.333333333
2023-07-01,4487968.0,4376373.333333333
2023-08-01,4494994.0,4465643.666666667
2023-09-01,4197363.0,4393441.666666667
2023-10-01,4340744.0,4344367.0
2023-11-01,4570279.0,4369462.0
2023-12-01,4522015.0,4477679.333333333
2024-01-01,4642121.0,4578138.333333333
2024-02-01,4342719.0,4502285.0
2024-03-01,4369729.0,4451523.0
2024-04-01,4572864.0,4428437.333333333
2024-05-01,4566592.0,4503061.666666667
2024-06-01,4246519.0,4461991.666666667
2024-07-01,4737617.0,4516909.333333333
2024-08-01,4489165.0,4491100.333333333
2024-09-01,4468521.0,4565101.0
2024-10-01,4718636.0,4558774.0
2024-11-01,4433967.0,4540374.666666667
2024-12-01,4753584.0,4635395.666666667
2025-01-01,4774652.0,4654067.666666667
2025-02-01,4175663.0,4567966.333333333
2025-03-01,4513187.0,4487834.0
2025-04-01,4531302.0,4406717.333333333
2025-05-01,4734483.0,4592990.666666667
2025-06-01,4530925.0,4598903.333333333
2025-07-01,4807519.0,4690975.666666667
2025-08-01,4321178.0,4553207.333333333
2025-09-01,4715840.0,4614845.666666667
2025-10-01,4783252.0,4606756.666666667
2025-11-01,4405731.0,4634941.0
2025-12-01,4917488.0,4702157.0
2026-01-01,4614672.0,4645963.666666667
2026-02-28,,4645963.666666667
2026-03-31,,4645963.666666667
2026-04-30,,4645963.666666667
