date,quantity,forecast
2021-02-01,4405176.0,
2021-03-01,4830404.0,
2021-04-01,4744082.0,4659887.333333333
2021-05-01,4520518.0,4698334.666666667
2021-06-01,4659498.0,4641366.0
2021-07-01,4689674.0,4623230.0
2021-08-01,4457544.0,4602238.666666667
2021-09-01,4647126.0,4598114.666666667
2021-10-01,4549346.0,4551338.666666667
2021-11-01,4498377.0,4564949.666666667
2021-12-01,4961084.0,4669602.333333333
2022-01-01,4566148.0,4675203.0
2022-02-01,4202173.0,4576468.333333333
2022-03-01,4819835.0,4529385.333333333
2022-04-01,4637791.0,4553266.333333333
2022-05-01,4664768.0,4707464.666666667
2022-06-01,4591145.0,4631234.666666667
2022-07-01,4499128.0,4585013.666666667
2022-08-01,4653765.0,4581346.0
2022-09-01,4653234.0,4602042.333333333
2022-10-01,4666840.0,4657946.333333333
2022-11-01,4562581.0,4627551.666666667
2022-12-01,4647313.0,4625578.0
2023-01-01,4702107.0,4637333.666666667
2023-02-01,4199771.0,4516397.0
2023-03-01,4890517.0,4597465.0
2023-04-01,4328260.0,4472849.333333333
2023-05-01,4428361.0,4549046.0
2023-06-01,4640285.0,4465635.333333333
2023-07-01,4514671.0,4527772.333333333
2023-08-01,4551667.0,4568874.333333333
2023-09-01,4416384.0,4494240.666666667
2023-10-01,4784497.0,4584182.666666667
2023-11-01,4687159.0,4629346.666666667
2023-12-01,4801269.0,4757641.666666667
2024-01-01,4734216.0,4740881.333333333
2024-02-01,4444506.0,4659997.0
2024-03-01,4460330.0,4546350.666666667
2024-04-01,4769396.0,4558077.333333333
2024-05-01,4772283.0,4667336.333333333
2024-06-01,4381388.0,4641022.333333333
2024-07-01,4819406.0,4657692.333333333
2024-08-01,4598226.0,4599673.333333333
2024-09-01,4539361.0,4652331.0
2024-10-01,4769301.0,4635629.333333333
2024-11-01,4668000.0,4658887.333333333
2024-12-01,4754780.0,4730693.666666667
2025-01-01,5041374.0,4821384.666666667
2025-02-01,4362764.0,4719639.333333333
2025-03-01,4611108.0,4671748.666666667
2025-04-01,4656232.0,4543368.0
2025-05-01,4874279.0,4713873.0
2025-06-01,4678054.0,4736188.333333333
2025-07-01,5025918.0,4859417.0
2025-08-01,4438070.0,4714014.0
2025-09-01,4975879.0,4813289.0
2025-10-01,4938304.0,4784084.333333333
2025-11-01,4584234.0,4832805.666666667
2025-12-01,5051194.0,4857910.666666667
2026-01-01,4921061.0,4852163.0
2026-02-28,,4852163.0
2026-03-31,,4852163.0
2026-04-30,,4852163.0
