date,quantity,forecast
2021-02-01,17476589.0,
2021-03-01,19779726.0,
2021-04-01,18836199.0,18697504.666666668
2021-05-01,17855200.0,18823708.333333332
2021-06-01,18905473.0,18532290.666666668
2021-07-01,19075520.0,18612064.333333332
2021-08-01,17909090.0,18630027.666666668
2021-09-01,19016669.0,18667093.0
2021-10-01,18507270.0,18477676.333333332
2021-11-01,19395539.0,18973159.333333332
2021-12-01,19080330.0,18994379.666666668
2022-01-01,18938914.0,19138261.0
2022-02-01,17782106.0,18600450.0
2022-03-01,19821016.0,18847345.333333332
2022-04-01,18392713.0,18665278.333333332
2022-05-01,19259488.0,19157739.0
2022-06-01,18871826.0,18841342.333333332
2022-07-01,18584699.0,18905337.666666668
2022-08-01,18936279.0,18797601.333333332
2022-09-01,19375853.0,18965610.333333332
2022-10-01,19238552.0,19183561.333333332
2022-11-01,19161644.0,19258683.0
2022-12-01,19121444.0,19173880.0
2023-01-01,19618962.0,19300683.333333332
2023-02-01,17921379.0,18887261.666666668
2023-03-01,20265638.0,19268659.666666668
2023-04-01,18049110.0,18745375.666666668
2023-05-01,19315783.0,19210177.0
2023-06-01,19444617.0,18936503.333333332
2023-07-01,19264098.0,19341499.333333332
2023-08-01,18961549.0,19223421.333333332
2023-09-01,19104741.0,19110129.333333332
2023-10-01,19824510.0,19296933.333333332
2023-11-01,19949919.0,19626390.0
2023-12-01,19302068.0,19692165.666666668
2024-01-01,20688770.0,19980252.333333332
2024-02-01,19074896.0,19688578.0
2024-03-01,19277857.0,19680507.666666668
2024-04-01,20180865.0,19511206.0
2024-05-01,20313819.0,19924180.333333332
2024-06-01,19179901.0,19891528.333333332
2024-07-01,20697316.0,20063678.666666668
2024-08-01,19842966.0,19906727.666666668
2024-09-01,19601954.0,20047412.0
2024-10-01,20721056.0,20055325.333333332
2024-11-01,20262876.0,20195295.333333332
2024-12-01,20058581.0,20347504.333333332
2025-01-01,20970805.0,20430754.0
2025-02-01,18898817.0,19976067.666666668
2025-03-01,20036078.0,19968566.666666668
2025-04-01,19948706.0,19627867.0
2025-05-01,20572895.0,20185893.0
2025-06-01,20116912.0,20212837.666666668
2025-07-01,21331176.0,20673661.0
2025-08-01,19732464.0,20393517.333333332
2025-09-01,20911866.0,20658502.0
2025-10-01,21503542.0,20715957.333333332
2025-11-01,19988075.0,20801161.0
2025-12-01,21368845.0,20953487.333333332
2026-01-01,21165183.0,20840701.0
2026-02-28,,20840701.0
2026-03-31,,20840701.0
2026-04-30,,20840701.0
