date,quantity,forecast
2021-02-01,2982686.0,
2021-03-01,3264905.0,
2021-04-01,3212669.0,3153420.0
2021-05-01,2979888.0,3152487.3333333335
2021-06-01,3293538.0,3162031.6666666665
2021-07-01,3289493.0,3187639.6666666665
2021-08-01,3094297.0,3225776.0
2021-09-01,3215088.0,3199626.0
2021-10-01,3226706.0,3178697.0
2021-11-01,3191463.0,3211085.6666666665
2021-12-01,3396264.0,3271477.6666666665
2022-01-01,3173980.0,3253902.3333333335
2022-02-01,2934768.0,3168337.3333333335
2022-03-01,3286132.0,3131626.6666666665
2022-04-01,3093259.0,3104719.6666666665
2022-05-01,3149638.0,3176343.0
2022-06-01,3203383.0,3148760.0
2022-07-01,3157028.0,3170016.3333333335
2022-08-01,3215192.0,3191867.6666666665
2022-09-01,3268323.0,3213514.3333333335
2022-10-01,3085915.0,3189810.0
2022-11-01,3193335.0,3182524.3333333335
2022-12-01,3246661.0,3175303.6666666665
2023-01-01,3203181.0,3214392.3333333335
2023-02-01,2921075.0,3123639.0
2023-03-01,3307937.0,3144064.3333333335
2023-04-01,2991712.0,3073574.6666666665
2023-05-01,3322425.0,3207358.0
2023-06-01,3453485.0,3255874.0
2023-07-01,3327178.0,3367696.0
2023-08-01,3396044.0,3392235.6666666665
2023-09-01,3294752.0,3339324.6666666665
2023-10-01,3562118.0,3417638.0
2023-11-01,3530405.0,3462425.0
2023-12-01,3517319.0,3536614.0
2024-01-01,3687788.0,3578504.0
2024-02-01,3358459.0,3521188.6666666665
2024-03-01,3418649.0,3488298.6666666665
2024-04-01,3627080.0,3468062.6666666665
2024-05-01,3642854.0,3562861.0
2024-06-01,3422725.0,3564219.6666666665
2024-07-01,3777295.0,3614291.3333333335
2024-08-01,3566933.0,3588984.3333333335
2024-09-01,3520777.0,3621668.3333333335
2024-10-01,3689971.0,3592560.3333333335
2024-11-01,3556708.0,3589152.0
2024-12-01,3658169.0,3634949.3333333335
2025-01-01,3758044.0,3657640.3333333335
2025-02-01,3313285.0,3576499.3333333335
2025-03-01,3553644.0,3541657.6666666665
2025-04-01,3552262.0,3473063.6666666665
2025-05-01,3651082.0,3585662.6666666665
2025-06-01,3627179.0,3610174.3333333335
2025-07-01,3841397.0,3706552.6666666665
2025-08-01,3540954.0,3669843.3333333335
2025-09-01,3715660.0,3699337.0
2025-10-01,3848910.0,3701841.3333333335
2025-11-01,3542009.0,3702193.0
2025-12-01,3914912.0,3768610.3333333335
2026-01-01,3773628.0,3743516.3333333335
2026-02-28,,3743516.3333333335
2026-03-31,,3743516.3333333335
2026-04-30,,3743516.3333333335
