date,quantity,forecast
2021-02-01,2828412.0,
2021-03-01,3169447.0,
2021-04-01,3059055.0,3018971.3333333335
2021-05-01,2903276.0,3043926.0
2021-06-01,3066064.0,3009465.0
2021-07-01,3041832.0,3003724.0
2021-08-01,2912741.0,3006879.0
2021-09-01,3124143.0,3026238.6666666665
2021-10-01,2864964.0,2967282.6666666665
2021-11-01,3025283.0,3004796.6666666665
2021-12-01,3179919.0,3023388.6666666665
2022-01-01,2954154.0,3053118.6666666665
2022-02-01,2796376.0,2976816.3333333335
2022-03-01,3162424.0,2970984.6666666665
2022-04-01,2803656.0,2920818.6666666665
2022-05-01,3162658.0,3042912.6666666665
2022-06-01,2842165.0,2936159.6666666665
2022-07-01,2862715.0,2955846.0
2022-08-01,2937275.0,2880718.3333333335
2022-09-01,3006641.0,2935543.6666666665
2022-10-01,2991911.0,2978609.0
2022-11-01,3005123.0,3001225.0
2022-12-01,2924629.0,2973887.6666666665
2023-01-01,3025160.0,2984970.6666666665
2023-02-01,2597065.0,2848951.3333333335
2023-03-01,3202878.0,2941701.0
2023-04-01,2836000.0,2878647.6666666665
2023-05-01,2804199.0,2947692.3333333335
2023-06-01,2992085.0,2877428.0
2023-07-01,2988830.0,2928371.3333333335
2023-08-01,3041722.0,3007545.6666666665
2023-09-01,2895407.0,2975319.6666666665
2023-10-01,2879817.0,2938982.0
2023-11-01,2977557.0,2917593.6666666665
2023-12-01,3114623.0,2990665.6666666665
2024-01-01,3077088.0,3056422.6666666665
2024-02-01,2991647.0,3061119.3333333335
2024-03-01,2987571.0,3018768.6666666665
2024-04-01,2985064.0,2988094.0
2024-05-01,3095436.0,3022690.3333333335
2024-06-01,2813613.0,2964704.3333333335
2024-07-01,3105312.0,3004787.0
2024-08-01,3018475.0,2979133.3333333335
2024-09-01,2985451.0,3036412.6666666665
2024-10-01,3058857.0,3020927.6666666665
2024-11-01,2895624.0,2979977.3333333335
2024-12-01,3094428.0,3016303.0
2025-01-01,3123757.0,3037936.3333333335
2025-02-01,2749631.0,2989272.0
2025-03-01,2917721.0,2930369.6666666665
2025-04-01,2999257.0,2888869.6666666665
2025-05-01,3101019.0,3005999.0
2025-06-01,2975411.0,3025229.0
2025-07-01,3222327.0,3099585.6666666665
2025-08-01,2897987.0,3031908.3333333335
2025-09-01,3003975.0,3041429.6666666665
2025-10-01,3129888.0,3010616.6666666665
2025-11-01,2905818.0,3013227.0
2025-12-01,3284696.0,3106800.6666666665
2026-01-01,3128035.0,3106183.0
2026-02-28,,3106183.0
2026-03-31,,3106183.0
2026-04-30,,3106183.0
