date,quantity,forecast
2021-02-01,16880761.0,
2021-03-01,19060951.0,
2021-04-01,17633958.0,17858556.666666668
2021-05-01,17220538.0,17971815.666666668
2021-06-01,18062916.0,17639137.333333332
2021-07-01,18102486.0,17795313.333333332
2021-08-01,17013617.0,17726339.666666668
2021-09-01,18442061.0,17852721.333333332
2021-10-01,17305590.0,17587089.333333332
2021-11-01,18049270.0,17932307.0
2021-12-01,18266577.0,17873812.333333332
2022-01-01,18303934.0,18206593.666666668
2022-02-01,16749807.0,17773439.333333332
2022-03-01,19026425.0,18026722.0
2022-04-01,17424936.0,17733722.666666668
2022-05-01,18270331.0,18240564.0
2022-06-01,18032438.0,17909235.0
2022-07-01,17744256.0,18015675.0
2022-08-01,17913266.0,17896653.333333332
2022-09-01,18241656.0,17966392.666666668
2022-10-01,17851380.0,18002100.666666668
2022-11-01,18444939.0,18179325.0
2022-12-01,18158778.0,18151699.0
2023-01-01,18327356.0,18310357.666666668
2023-02-01,16724562.0,17736898.666666668
2023-03-01,19229813.0,18093910.333333332
2023-04-01,17156189.0,17703521.333333332
2023-05-01,18124860.0,18170287.333333332
2023-06-01,18222590.0,17834546.333333332
2023-07-01,18173397.0,18173615.666666668
2023-08-01,18272168.0,18222718.333333332
2023-09-01,18068647.0,18171404.0
2023-10-01,18412525.0,18251113.333333332
2023-11-01,18836369.0,18439180.333333332
2023-12-01,18302203.0,18517032.333333332
2024-01-01,19093348.0,18743973.333333332
2024-02-01,18031798.0,18475783.0
2024-03-01,18234468.0,18453204.666666668
2024-04-01,18899923.0,18388729.666666668
2024-05-01,18785360.0,18639917.0
2024-06-01,17775657.0,18486980.0
2024-07-01,19552971.0,18704662.666666668
2024-08-01,18422083.0,18583570.333333332
2024-09-01,18483132.0,18819395.333333332
2024-10-01,19672616.0,18859277.0
2024-11-01,18848006.0,19001251.333333332
2024-12-01,19042273.0,19187631.666666668
2025-01-01,19808688.0,19232989.0
2025-02-01,17670440.0,18840467.0
2025-03-01,18719471.0,18732866.333333332
2025-04-01,18757859.0,18382590.0
2025-05-01,19228884.0,18902071.333333332
2025-06-01,18473449.0,18820064.0
2025-07-01,20047802.0,19250045.0
2025-08-01,18235745.0,18918998.666666668
2025-09-01,19542390.0,19275312.333333332
2025-10-01,20124217.0,19300784.0
2025-11-01,18586460.0,19417689.0
2025-12-01,20144437.0,19618371.333333332
2026-01-01,20058395.0,19596430.666666668
2026-02-28,,19596430.666666668
2026-03-31,,19596430.666666668
2026-04-30,,19596430.666666668
