date,quantity,forecast
2021-02-01,8535883.0,
2021-03-01,9480416.0,
2021-04-01,9147275.0,9054524.666666666
2021-05-01,8721164.0,9116285.0
2021-06-01,9224182.0,9030873.666666666
2021-07-01,9112695.0,9019347.0
2021-08-01,8793375.0,9043417.333333334
2021-09-01,9221171.0,9042413.666666666
2021-10-01,8663342.0,8892629.333333334
2021-11-01,9249904.0,9044805.666666666
2021-12-01,9648619.0,9187288.333333334
2022-01-01,9080112.0,9326211.666666666
2022-02-01,8520189.0,9082973.333333334
2022-03-01,9560502.0,9053601.0
2022-04-01,8939198.0,9006629.666666666
2022-05-01,9258615.0,9252771.666666666
2022-06-01,9177977.0,9125263.333333334
2022-07-01,8830833.0,9089141.666666666
2022-08-01,9217218.0,9075342.666666666
2022-09-01,9074422.0,9040824.333333334
2022-10-01,9229474.0,9173704.666666666
2022-11-01,9289213.0,9197703.0
2022-12-01,9378257.0,9298981.333333334
2023-01-01,9465551.0,9377673.666666666
2023-02-01,8399868.0,9081225.333333334
2023-03-01,9724098.0,9196505.666666666
2023-04-01,8792424.0,8972130.0
2023-05-01,9241890.0,9252804.0
2023-06-01,9281407.0,9105240.333333334
2023-07-01,9165733.0,9229676.666666666
2023-08-01,9311229.0,9252789.666666666
2023-09-01,8623654.0,9033538.666666666
2023-10-01,9511773.0,9148885.333333334
2023-11-01,9776532.0,9303986.333333334
2023-12-01,9863765.0,9717356.666666666
2024-01-01,9899296.0,9846531.0
2024-02-01,9053567.0,9605542.666666666
2024-03-01,9479436.0,9477433.0
2024-04-01,9926084.0,9486362.333333334
2024-05-01,9763849.0,9723123.0
2024-06-01,9298440.0,9662791.0
2024-07-01,10017368.0,9693219.0
2024-08-01,9680889.0,9665565.666666666
2024-09-01,9460607.0,9719621.333333334
2024-10-01,9996912.0,9712802.666666666
2024-11-01,9595660.0,9684393.0
2024-12-01,9904612.0,9832394.666666666
2025-01-01,10046725.0,9848999.0
2025-02-01,9084346.0,9678561.0
2025-03-01,9732115.0,9621062.0
2025-04-01,9584171.0,9466877.333333334
2025-05-01,9931038.0,9749108.0
2025-06-01,9699151.0,9738120.0
2025-07-01,10135807.0,9921998.666666666
2025-08-01,9504767.0,9779908.333333334
2025-09-01,9988535.0,9876369.666666666
2025-10-01,10407776.0,9967026.0
2025-11-01,9377173.0,9924494.666666666
2025-12-01,10793145.0,10192698.0
2026-01-01,10289308.0,10153208.666666666
2026-02-28,,10153208.666666666
2026-03-31,,10153208.666666666
2026-04-30,,10153208.666666666
