date,quantity,forecast
2021-02-01,13187731.0,
2021-03-01,14607504.0,
2021-04-01,14252161.0,14015798.666666666
2021-05-01,13598791.0,14152818.666666666
2021-06-01,14238800.0,14029917.333333334
2021-07-01,14273120.0,14036903.666666666
2021-08-01,13630730.0,14047550.0
2021-09-01,14200729.0,14034859.666666666
2021-10-01,13730984.0,13854147.666666666
2021-11-01,14100388.0,14010700.333333334
2021-12-01,14911786.0,14247719.333333334
2022-01-01,13953754.0,14321976.0
2022-02-01,13355216.0,14073585.333333334
2022-03-01,14805233.0,14038067.666666666
2022-04-01,13936890.0,14032446.333333334
2022-05-01,14418396.0,14386839.666666666
2022-06-01,14319730.0,14225005.333333334
2022-07-01,14163856.0,14300660.666666666
2022-08-01,14347385.0,14276990.333333334
2022-09-01,14371597.0,14294279.333333334
2022-10-01,14191079.0,14303353.666666666
2022-11-01,14352198.0,14304958.0
2022-12-01,14746928.0,14430068.333333334
2023-01-01,14589002.0,14562709.333333334
2023-02-01,13289451.0,14208460.333333334
2023-03-01,15240014.0,14372822.333333334
2023-04-01,13547842.0,14025769.0
2023-05-01,14147845.0,14311900.333333334
2023-06-01,14630592.0,14108759.666666666
2023-07-01,13900104.0,14226180.333333334
2023-08-01,14840799.0,14457165.0
2023-09-01,13853346.0,14198083.0
2023-10-01,14167199.0,14287114.666666666
2023-11-01,14927776.0,14316107.0
2023-12-01,14856133.0,14650369.333333334
2024-01-01,15385862.0,15056590.333333334
2024-02-01,14341966.0,14861320.333333334
2024-03-01,14565754.0,14764527.333333334
2024-04-01,15125540.0,14677753.333333334
2024-05-01,15352004.0,15014432.666666666
2024-06-01,14333581.0,14937041.666666666
2024-07-01,15529008.0,15071531.0
2024-08-01,15025499.0,14962696.0
2024-09-01,14512256.0,15022254.333333334
2024-10-01,15448923.0,14995559.333333334
2024-11-01,14910261.0,14957146.666666666
2024-12-01,15278705.0,15212629.666666666
2025-01-01,15967142.0,15385369.333333334
2025-02-01,13976951.0,15074266.0
2025-03-01,14896198.0,14946763.666666666
2025-04-01,15047556.0,14640235.0
2025-05-01,15537447.0,15160400.333333334
2025-06-01,14938558.0,15174520.333333334
2025-07-01,15905015.0,15460340.0
2025-08-01,14529959.0,15124510.666666666
2025-09-01,15274421.0,15236465.0
2025-10-01,15935876.0,15246752.0
2025-11-01,14844038.0,15351445.0
2025-12-01,16277769.0,15685894.333333334
2026-01-01,15801675.0,15641160.666666666
2026-02-28,,15641160.666666666
2026-03-31,,15641160.666666666
2026-04-30,,15641160.666666666
