date,quantity,forecast
2021-02-01,5920593.0,
2021-03-01,6742629.0,
2021-04-01,6375918.0,6346380.0
2021-05-01,6255786.0,6458111.0
2021-06-01,6424450.0,6352051.333333333
2021-07-01,6477640.0,6385958.666666667
2021-08-01,6113185.0,6338425.0
2021-09-01,6391866.0,6327563.666666667
2021-10-01,6105652.0,6203567.666666667
2021-11-01,6250632.0,6249383.333333333
2021-12-01,6690464.0,6348916.0
2022-01-01,6403471.0,6448189.0
2022-02-01,6082128.0,6392021.0
2022-03-01,6645279.0,6376959.333333333
2022-04-01,6284576.0,6337327.666666667
2022-05-01,6326493.0,6418782.666666667
2022-06-01,6396468.0,6335845.666666667
2022-07-01,6374160.0,6365707.0
2022-08-01,6531817.0,6434148.333333333
2022-09-01,6408957.0,6438311.333333333
2022-10-01,6439037.0,6459937.0
2022-11-01,6593109.0,6480367.666666667
2022-12-01,6459320.0,6497155.333333333
2023-01-01,6606699.0,6553042.666666667
2023-02-01,5943389.0,6336469.333333333
2023-03-01,6812928.0,6454338.666666667
2023-04-01,6359019.0,6371778.666666667
2023-05-01,6547377.0,6573108.0
2023-06-01,6664482.0,6523626.0
2023-07-01,6570779.0,6594212.666666667
2023-08-01,6549813.0,6595024.666666667
2023-09-01,6489349.0,6536647.0
2023-10-01,6696030.0,6578397.333333333
2023-11-01,6751305.0,6645561.333333333
2023-12-01,6725959.0,6724431.333333333
2024-01-01,6898171.0,6791811.666666667
2024-02-01,6391201.0,6671777.0
2024-03-01,6549297.0,6612889.666666667
2024-04-01,6854456.0,6598318.0
2024-05-01,6846621.0,6750124.666666667
2024-06-01,6473764.0,6724947.0
2024-07-01,7046561.0,6788982.0
2024-08-01,6650703.0,6723676.0
2024-09-01,6595889.0,6764384.333333333
2024-10-01,7076457.0,6774349.666666667
2024-11-01,6625283.0,6765876.333333333
2024-12-01,7031384.0,6911041.333333333
2025-01-01,7087068.0,6914578.333333333
2025-02-01,6393479.0,6837310.333333333
2025-03-01,6769190.0,6749912.333333333
2025-04-01,6774797.0,6645822.0
2025-05-01,7106012.0,6883333.0
2025-06-01,6759121.0,6879976.666666667
2025-07-01,7266964.0,7044032.333333333
2025-08-01,6664666.0,6896917.0
2025-09-01,6922565.0,6951398.333333333
2025-10-01,7325800.0,6971010.333333333
2025-11-01,6792690.0,7013685.0
2025-12-01,7486535.0,7201675.0
2026-01-01,7226402.0,7168542.333333333
2026-02-28,,7168542.333333333
2026-03-31,,7168542.333333333
2026-04-30,,7168542.333333333
