date,quantity,forecast
2021-02-01,3311661.0,
2021-03-01,3759871.0,
2021-04-01,3629699.0,3567077.0
2021-05-01,3282088.0,3557219.3333333335
2021-06-01,3668545.0,3526777.3333333335
2021-07-01,3583995.0,3511542.6666666665
2021-08-01,3445169.0,3565903.0
2021-09-01,3552182.0,3527115.3333333335
2021-10-01,3522840.0,3506730.3333333335
2021-11-01,3541449.0,3538823.6666666665
2021-12-01,3732331.0,3598873.3333333335
2022-01-01,3455118.0,3576299.3333333335
2022-02-01,3334905.0,3507451.3333333335
2022-03-01,3742375.0,3510799.3333333335
2022-04-01,3439986.0,3505755.3333333335
2022-05-01,3600417.0,3594259.3333333335
2022-06-01,3521776.0,3520726.3333333335
2022-07-01,3463090.0,3528427.6666666665
2022-08-01,3544395.0,3509753.6666666665
2022-09-01,3530592.0,3512692.3333333335
2022-10-01,3456522.0,3510503.0
2022-11-01,3666453.0,3551189.0
2022-12-01,3605264.0,3576079.6666666665
2023-01-01,3643689.0,3638468.6666666665
2023-02-01,3332013.0,3526988.6666666665
2023-03-01,3813079.0,3596260.3333333335
2023-04-01,3376471.0,3507187.6666666665
2023-05-01,3574441.0,3587997.0
2023-06-01,3663411.0,3538107.6666666665
2023-07-01,3582043.0,3606631.6666666665
2023-08-01,3568130.0,3604528.0
2023-09-01,3426321.0,3525498.0
2023-10-01,3612941.0,3535797.3333333335
2023-11-01,3626515.0,3555259.0
2023-12-01,3589953.0,3609803.0
2024-01-01,3689202.0,3635223.3333333335
2024-02-01,3445139.0,3574764.6666666665
2024-03-01,3548828.0,3561056.3333333335
2024-04-01,3662091.0,3552019.3333333335
2024-05-01,3759399.0,3656772.6666666665
2024-06-01,3456920.0,3626136.6666666665
2024-07-01,3805006.0,3673775.0
2024-08-01,3593592.0,3618506.0
2024-09-01,3560416.0,3653004.6666666665
2024-10-01,3778113.0,3644040.3333333335
2024-11-01,3583572.0,3640700.3333333335
2024-12-01,3741474.0,3701053.0
2025-01-01,3795927.0,3706991.0
2025-02-01,3431636.0,3656345.6666666665
2025-03-01,3559321.0,3595628.0
2025-04-01,3612900.0,3534619.0
2025-05-01,3748419.0,3640213.3333333335
2025-06-01,3609346.0,3656888.3333333335
2025-07-01,3816062.0,3724609.0
2025-08-01,3462046.0,3629151.3333333335
2025-09-01,3757252.0,3678453.3333333335
2025-10-01,3832295.0,3683864.3333333335
2025-11-01,3445505.0,3678350.6666666665
2025-12-01,3918005.0,3731935.0
2026-01-01,3781038.0,3714849.3333333335
2026-02-28,,3714849.3333333335
2026-03-31,,3714849.3333333335
2026-04-30,,3714849.3333333335
