date,quantity,forecast
2021-02-01,6090761.0,
2021-03-01,6701174.0,
2021-04-01,6584224.0,6458719.666666667
2021-05-01,6263957.0,6516451.666666667
2021-06-01,6547657.0,6465279.333333333
2021-07-01,6545553.0,6452389.0
2021-08-01,6270766.0,6454658.666666667
2021-09-01,6610617.0,6475645.333333333
2021-10-01,6326154.0,6402512.333333333
2021-11-01,6372453.0,6436408.0
2021-12-01,6926627.0,6541744.666666667
2022-01-01,6402975.0,6567351.666666667
2022-02-01,5958228.0,6429276.666666667
2022-03-01,6804358.0,6388520.333333333
2022-04-01,6048329.0,6270305.0
2022-05-01,6528169.0,6460285.333333333
2022-06-01,6359843.0,6312113.666666667
2022-07-01,6413870.0,6433960.666666667
2022-08-01,6663155.0,6478956.0
2022-09-01,6334691.0,6470572.0
2022-10-01,6597323.0,6531723.0
2022-11-01,6444464.0,6458826.0
2022-12-01,6833660.0,6625149.0
2023-01-01,6605306.0,6627810.0
2023-02-01,5985286.0,6474750.666666667
2023-03-01,6831349.0,6473980.333333333
2023-04-01,6302374.0,6373003.0
2023-05-01,6438100.0,6523941.0
2023-06-01,6705005.0,6481826.333333333
2023-07-01,6344502.0,6495869.0
2023-08-01,6599760.0,6549755.666666667
2023-09-01,6394971.0,6446411.0
2023-10-01,6801273.0,6598668.0
2023-11-01,7009294.0,6735179.333333333
2023-12-01,6729712.0,6846759.666666667
2024-01-01,6967112.0,6902039.333333333
2024-02-01,6587235.0,6761353.0
2024-03-01,6668788.0,6741045.0
2024-04-01,6857919.0,6704647.333333333
2024-05-01,6913995.0,6813567.333333333
2024-06-01,6474831.0,6748915.0
2024-07-01,7023018.0,6803948.0
2024-08-01,6780114.0,6759321.0
2024-09-01,6574549.0,6792560.333333333
2024-10-01,6964281.0,6772981.333333333
2024-11-01,6694202.0,6744344.0
2024-12-01,6945768.0,6868083.666666667
2025-01-01,7096839.0,6912269.666666667
2025-02-01,6409237.0,6817281.333333333
2025-03-01,6684831.0,6730302.333333333
2025-04-01,6773223.0,6622430.333333333
2025-05-01,6948955.0,6802336.333333333
2025-06-01,6867097.0,6863091.666666667
2025-07-01,7177053.0,6997701.666666667
2025-08-01,6630909.0,6891686.333333333
2025-09-01,7055771.0,6954577.666666667
2025-10-01,7296307.0,6994329.0
2025-11-01,6729044.0,7027040.666666667
2025-12-01,7523957.0,7183102.666666667
2026-01-01,7088880.0,7113960.333333333
2026-02-28,,7113960.333333333
2026-03-31,,7113960.333333333
2026-04-30,,7113960.333333333
