date,quantity,forecast
2021-02-01,12402958.0,
2021-03-01,13810590.0,
2021-04-01,13043151.0,13085566.333333334
2021-05-01,12657840.0,13170527.0
2021-06-01,13592474.0,13097821.666666666
2021-07-01,13261841.0,13170718.333333334
2021-08-01,12654118.0,13169477.666666666
2021-09-01,13441166.0,13119041.666666666
2021-10-01,12714961.0,12936748.333333334
2021-11-01,13346959.0,13167695.333333334
2021-12-01,13337485.0,13133135.0
2022-01-01,13195963.0,13293469.0
2022-02-01,12038403.0,12857283.666666666
2022-03-01,13824055.0,13019473.666666666
2022-04-01,12803506.0,12888654.666666666
2022-05-01,13263303.0,13296954.666666666
2022-06-01,13180618.0,13082475.666666666
2022-07-01,13009686.0,13151202.333333334
2022-08-01,13041436.0,13077246.666666666
2022-09-01,13173981.0,13075034.333333334
2022-10-01,13217828.0,13144415.0
2022-11-01,13221148.0,13204319.0
2022-12-01,13046575.0,13161850.333333334
2023-01-01,13373362.0,13213695.0
2023-02-01,12205532.0,12875156.333333334
2023-03-01,13690080.0,13089658.0
2023-04-01,12401074.0,12765562.0
2023-05-01,13379991.0,13157048.333333334
2023-06-01,13355138.0,13045401.0
2023-07-01,13277017.0,13337382.0
2023-08-01,13241820.0,13291325.0
2023-09-01,12943402.0,13154079.666666666
2023-10-01,13356230.0,13180484.0
2023-11-01,13637883.0,13312505.0
2023-12-01,13361657.0,13451923.333333334
2024-01-01,13977451.0,13658997.0
2024-02-01,12974337.0,13437815.0
2024-03-01,13016553.0,13322780.333333334
2024-04-01,13803525.0,13264805.0
2024-05-01,13736467.0,13518848.333333334
2024-06-01,13007089.0,13515693.666666666
2024-07-01,14347847.0,13697134.333333334
2024-08-01,13408027.0,13587654.333333334
2024-09-01,13336511.0,13697461.666666666
2024-10-01,14069683.0,13604740.333333334
2024-11-01,13728332.0,13711508.666666666
2024-12-01,13840015.0,13879343.333333334
2025-01-01,14278014.0,13948787.0
2025-02-01,12806999.0,13641676.0
2025-03-01,13676137.0,13587050.0
2025-04-01,13494839.0,13325991.666666666
2025-05-01,14131625.0,13767533.666666666
2025-06-01,13643918.0,13756794.0
2025-07-01,14606620.0,14127387.666666666
2025-08-01,13181479.0,13810672.333333334
2025-09-01,14236706.0,14008268.333333334
2025-10-01,14448715.0,13955633.333333334
2025-11-01,13526177.0,14070532.666666666
2025-12-01,14593619.0,14189503.666666666
2026-01-01,14361708.0,14160501.333333334
2026-02-28,,14160501.333333334
2026-03-31,,14160501.333333334
2026-04-30,,14160501.333333334
