date,quantity,forecast
2021-02-01,2363912.0,
2021-03-01,2591345.0,
2021-04-01,2573149.0,2509468.6666666665
2021-05-01,2442225.0,2535573.0
2021-06-01,2569386.0,2528253.3333333335
2021-07-01,2544443.0,2518684.6666666665
2021-08-01,2434467.0,2516098.6666666665
2021-09-01,2659900.0,2546270.0
2021-10-01,2341641.0,2478669.3333333335
2021-11-01,2543865.0,2515135.3333333335
2021-12-01,2758119.0,2547875.0
2022-01-01,2532501.0,2611495.0
2022-02-01,2382043.0,2557554.3333333335
2022-03-01,2677627.0,2530723.6666666665
2022-04-01,2431397.0,2497022.3333333335
2022-05-01,2621350.0,2576791.3333333335
2022-06-01,2494696.0,2515814.3333333335
2022-07-01,2561861.0,2559302.3333333335
2022-08-01,2621063.0,2559206.6666666665
2022-09-01,2563133.0,2582019.0
2022-10-01,2463278.0,2549158.0
2022-11-01,2657056.0,2561155.6666666665
2022-12-01,2658205.0,2592846.3333333335
2023-01-01,2597366.0,2637542.3333333335
2023-02-01,2336472.0,2530681.0
2023-03-01,2764943.0,2566260.3333333335
2023-04-01,2435753.0,2512389.3333333335
2023-05-01,2567400.0,2589365.3333333335
2023-06-01,2608623.0,2537258.6666666665
2023-07-01,2555512.0,2577178.3333333335
2023-08-01,2552533.0,2572222.6666666665
2023-09-01,2514839.0,2540961.3333333335
2023-10-01,2596847.0,2554739.6666666665
2023-11-01,2649526.0,2587070.6666666665
2023-12-01,2578873.0,2608415.3333333335
2024-01-01,2766572.0,2664990.3333333335
2024-02-01,2482676.0,2609373.6666666665
2024-03-01,2583381.0,2610876.3333333335
2024-04-01,2611749.0,2559268.6666666665
2024-05-01,2733375.0,2642835.0
2024-06-01,2540278.0,2628467.3333333335
2024-07-01,2802830.0,2692161.0
2024-08-01,2666239.0,2669782.3333333335
2024-09-01,2608891.0,2692653.3333333335
2024-10-01,2705004.0,2660044.6666666665
2024-11-01,2598895.0,2637596.6666666665
2024-12-01,2745117.0,2683005.3333333335
2025-01-01,2715829.0,2686613.6666666665
2025-02-01,2470482.0,2643809.3333333335
2025-03-01,2627927.0,2604746.0
2025-04-01,2638203.0,2578870.6666666665
2025-05-01,2802544.0,2689558.0
2025-06-01,2633677.0,2691474.6666666665
2025-07-01,2876023.0,2770748.0
2025-08-01,2634370.0,2714690.0
2025-09-01,2798788.0,2769727.0
2025-10-01,2876647.0,2769935.0
2025-11-01,2688715.0,2788050.0
2025-12-01,2985713.0,2850358.3333333335
2026-01-01,2824315.0,2832914.3333333335
2026-02-28,,2832914.3333333335
2026-03-31,,2832914.3333333335
2026-04-30,,2832914.3333333335
