date,quantity,forecast
2021-02-01,10662801.0,
2021-03-01,11879066.0,
2021-04-01,11228650.0,11256839.0
2021-05-01,10884988.0,11330901.333333334
2021-06-01,11330597.0,11148078.333333334
2021-07-01,11539829.0,11251804.666666666
2021-08-01,10674919.0,11181781.666666666
2021-09-01,11359116.0,11191288.0
2021-10-01,10926260.0,10986765.0
2021-11-01,11378109.0,11221161.666666666
2021-12-01,11843871.0,11382746.666666666
2022-01-01,11374301.0,11532093.666666666
2022-02-01,10484932.0,11234368.0
2022-03-01,11914577.0,11257936.666666666
2022-04-01,11132020.0,11177176.333333334
2022-05-01,11353257.0,11466618.0
2022-06-01,11252247.0,11245841.333333334
2022-07-01,11098882.0,11234795.333333334
2022-08-01,11389557.0,11246895.333333334
2022-09-01,11512387.0,11333608.666666666
2022-10-01,11574870.0,11492271.333333334
2022-11-01,11657043.0,11581433.333333334
2022-12-01,11472976.0,11568296.333333334
2023-01-01,11452002.0,11527340.333333334
2023-02-01,10484141.0,11136373.0
2023-03-01,12145764.0,11360635.666666666
2023-04-01,10833648.0,11154517.666666666
2023-05-01,11416530.0,11465314.0
2023-06-01,11771773.0,11340650.333333334
2023-07-01,11389364.0,11525889.0
2023-08-01,11465385.0,11542174.0
2023-09-01,11406393.0,11420380.666666666
2023-10-01,11850126.0,11573968.0
2023-11-01,11813183.0,11689900.666666666
2023-12-01,11560872.0,11741393.666666666
2024-01-01,11985077.0,11786377.333333334
2024-02-01,11250897.0,11598948.666666666
2024-03-01,11337443.0,11524472.333333334
2024-04-01,11899076.0,11495805.333333334
2024-05-01,12038183.0,11758234.0
2024-06-01,11265807.0,11734355.333333334
2024-07-01,12260567.0,11854852.333333334
2024-08-01,11730868.0,11752414.0
2024-09-01,11597811.0,11863082.0
2024-10-01,12366082.0,11898253.666666666
2024-11-01,11966101.0,11976664.666666666
2024-12-01,12010743.0,12114308.666666666
2025-01-01,12170061.0,12048968.333333334
2025-02-01,10973408.0,11718070.666666666
2025-03-01,11746418.0,11629962.333333334
2025-04-01,11651998.0,11457274.666666666
2025-05-01,12119860.0,11839425.333333334
2025-06-01,11663859.0,11811905.666666666
2025-07-01,12528702.0,12104140.333333334
2025-08-01,11500829.0,11897796.666666666
2025-09-01,12306616.0,12112049.0
2025-10-01,12265025.0,12024156.666666666
2025-11-01,11637337.0,12069659.333333334
2025-12-01,12540678.0,12147680.0
2026-01-01,12296285.0,12158100.0
2026-02-28,,12158100.0
2026-03-31,,12158100.0
2026-04-30,,12158100.0
