date,quantity,forecast
2021-02-01,1850714.0,
2021-03-01,2040504.0,
2021-04-01,1967843.0,1953020.3333333333
2021-05-01,1776547.0,1928298.0
2021-06-01,1979413.0,1907934.3333333333
2021-07-01,1958292.0,1904750.6666666667
2021-08-01,1912583.0,1950096.0
2021-09-01,1951679.0,1940851.3333333333
2021-10-01,1854160.0,1906140.6666666667
2021-11-01,1923772.0,1909870.3333333333
2021-12-01,2078223.0,1952051.6666666667
2022-01-01,1922772.0,1974922.3333333333
2022-02-01,1781989.0,1927661.3333333333
2022-03-01,2061479.0,1922080.0
2022-04-01,1904291.0,1915919.6666666667
2022-05-01,1997206.0,1987658.6666666667
2022-06-01,1950765.0,1950754.0
2022-07-01,1960081.0,1969350.6666666667
2022-08-01,1979787.0,1963544.3333333333
2022-09-01,1991877.0,1977248.3333333333
2022-10-01,1899905.0,1957189.6666666667
2022-11-01,1937913.0,1943231.6666666667
2022-12-01,2030254.0,1956024.0
2023-01-01,2007734.0,1991967.0
2023-02-01,1818692.0,1952226.6666666667
2023-03-01,2092732.0,1973052.6666666667
2023-04-01,1868650.0,1926691.3333333333
2023-05-01,2021192.0,1994191.3333333333
2023-06-01,2050964.0,1980268.6666666667
2023-07-01,2007315.0,2026490.3333333333
2023-08-01,1993439.0,2017239.3333333333
2023-09-01,2088310.0,2029688.0
2023-10-01,2075962.0,2052570.3333333333
2023-11-01,2126981.0,2097084.3333333333
2023-12-01,2129582.0,2110841.6666666665
2024-01-01,2160693.0,2139085.3333333335
2024-02-01,1947840.0,2079371.6666666667
2024-03-01,1990508.0,2033013.6666666667
2024-04-01,2139170.0,2025839.3333333333
2024-05-01,2109841.0,2079839.6666666667
2024-06-01,1920935.0,2056648.6666666667
2024-07-01,2159304.0,2063360.0
2024-08-01,2053786.0,2044675.0
2024-09-01,1987292.0,2066794.0
2024-10-01,2197054.0,2079377.3333333333
2024-11-01,2059859.0,2081401.6666666667
2024-12-01,2111880.0,2122931.0
2025-01-01,2190688.0,2120809.0
2025-02-01,1925938.0,2076168.6666666667
2025-03-01,2050748.0,2055791.3333333333
2025-04-01,2041817.0,2006167.6666666667
2025-05-01,2138015.0,2076860.0
2025-06-01,2102873.0,2094235.0
2025-07-01,2207313.0,2149400.3333333335
2025-08-01,2063405.0,2124530.3333333335
2025-09-01,2144992.0,2138570.0
2025-10-01,2204198.0,2137531.6666666665
2025-11-01,2009446.0,2119545.3333333335
2025-12-01,2284831.0,2166158.3333333335
2026-01-01,2155933.0,2150070.0
2026-02-28,,2150070.0
2026-03-31,,2150070.0
2026-04-30,,2150070.0
