date,quantity,forecast
2021-02-01,4262931.0,
2021-03-01,4767970.0,
2021-04-01,4558066.0,4529655.666666667
2021-05-01,4339724.0,4555253.333333333
2021-06-01,4642200.0,4513330.0
2021-07-01,4555115.0,4512346.333333333
2021-08-01,4449915.0,4549076.666666667
2021-09-01,4656985.0,4554005.0
2021-10-01,4417184.0,4508028.0
2021-11-01,4533235.0,4535801.333333333
2021-12-01,4937010.0,4629143.0
2022-01-01,4745496.0,4738580.333333333
2022-02-01,4295959.0,4659488.333333333
2022-03-01,4929903.0,4657119.333333333
2022-04-01,4353181.0,4526347.666666667
2022-05-01,4788276.0,4690453.333333333
2022-06-01,4708471.0,4616642.666666667
2022-07-01,4685419.0,4727388.666666667
2022-08-01,4727843.0,4707244.333333333
2022-09-01,4710922.0,4708061.333333333
2022-10-01,4569530.0,4669431.666666667
2022-11-01,4696370.0,4658940.666666667
2022-12-01,4754759.0,4673553.0
2023-01-01,4818728.0,4756619.0
2023-02-01,4346421.0,4639969.333333333
2023-03-01,5023495.0,4729548.0
2023-04-01,4473967.0,4614627.666666667
2023-05-01,4724444.0,4740635.333333333
2023-06-01,4796754.0,4665055.0
2023-07-01,4703315.0,4741504.333333333
2023-08-01,4700693.0,4733587.333333333
2023-09-01,4605168.0,4669725.333333333
2023-10-01,4829576.0,4711812.333333333
2023-11-01,4879756.0,4771500.0
2023-12-01,4839606.0,4849646.0
2024-01-01,5009807.0,4909723.0
2024-02-01,4653832.0,4834415.0
2024-03-01,4712060.0,4791899.666666667
2024-04-01,4834490.0,4733460.666666667
2024-05-01,4985154.0,4843901.333333333
2024-06-01,4486778.0,4768807.333333333
2024-07-01,5037164.0,4836365.333333333
2024-08-01,4952223.0,4825388.333333333
2024-09-01,4747211.0,4912199.333333333
2024-10-01,5019700.0,4906378.0
2024-11-01,4819344.0,4862085.0
2024-12-01,4946314.0,4928452.666666667
2025-01-01,5140198.0,4968618.666666667
2025-02-01,4561419.0,4882643.666666667
2025-03-01,4885975.0,4862530.666666667
2025-04-01,4768663.0,4738685.666666667
2025-05-01,5068014.0,4907550.666666667
2025-06-01,4766128.0,4867601.666666667
2025-07-01,5173868.0,5002670.0
2025-08-01,4683906.0,4874634.0
2025-09-01,5069824.0,4975866.0
2025-10-01,5239880.0,4997870.0
2025-11-01,4694177.0,5001293.666666667
2025-12-01,5321759.0,5085272.0
2026-01-01,4993380.0,5003105.333333333
2026-02-28,,5003105.333333333
2026-03-31,,5003105.333333333
2026-04-30,,5003105.333333333
