date,quantity,forecast
2021-02-01,3952113.0,
2021-03-01,4413446.0,
2021-04-01,4002584.0,4122714.3333333335
2021-05-01,4227170.0,4214400.0
2021-06-01,4311429.0,4180394.3333333335
2021-07-01,4328032.0,4288877.0
2021-08-01,3955653.0,4198371.333333333
2021-09-01,4451416.0,4245033.666666667
2021-10-01,4101367.0,4169478.6666666665
2021-11-01,4252006.0,4268263.0
2021-12-01,4473164.0,4275512.333333333
2022-01-01,4272453.0,4332541.0
2022-02-01,3931434.0,4225683.666666667
2022-03-01,4458442.0,4220776.333333333
2022-04-01,4138117.0,4175997.6666666665
2022-05-01,4182104.0,4259554.333333333
2022-06-01,4174042.0,4164754.3333333335
2022-07-01,4295912.0,4217352.666666667
2022-08-01,4215835.0,4228596.333333333
2022-09-01,4102157.0,4204634.666666667
2022-10-01,4004319.0,4107437.0
2022-11-01,4466096.0,4190857.3333333335
2022-12-01,4248577.0,4239664.0
2023-01-01,4319791.0,4344821.333333333
2023-02-01,3898751.0,4155706.3333333335
2023-03-01,4401682.0,4206741.333333333
2023-04-01,3936494.0,4078975.6666666665
2023-05-01,4079371.0,4139182.3333333335
2023-06-01,3973594.0,3996486.3333333335
2023-07-01,3859555.0,3970840.0
2023-08-01,4016020.0,3949723.0
2023-09-01,3811862.0,3895812.3333333335
2023-10-01,4107357.0,3978413.0
2023-11-01,4081805.0,4000341.3333333335
2023-12-01,4063786.0,4084316.0
2024-01-01,4289926.0,4145172.3333333335
2024-02-01,3886359.0,4080023.6666666665
2024-03-01,4051708.0,4075997.6666666665
2024-04-01,4266714.0,4068260.3333333335
2024-05-01,4331877.0,4216766.333333333
2024-06-01,3938792.0,4179127.6666666665
2024-07-01,4376434.0,4215701.0
2024-08-01,4156520.0,4157248.6666666665
2024-09-01,4183487.0,4238813.666666667
2024-10-01,4409077.0,4249694.666666667
2024-11-01,4159653.0,4250739.0
2024-12-01,4282798.0,4283842.666666667
2025-01-01,4445125.0,4295858.666666667
2025-02-01,3899466.0,4209129.666666667
2025-03-01,4281821.0,4208804.0
2025-04-01,4316817.0,4166034.6666666665
2025-05-01,4390771.0,4329803.0
2025-06-01,4230302.0,4312630.0
2025-07-01,4584809.0,4401960.666666667
2025-08-01,4149708.0,4321606.333333333
2025-09-01,4429730.0,4388082.333333333
2025-10-01,4510839.0,4363425.666666667
2025-11-01,4230078.0,4390215.666666667
2025-12-01,4555149.0,4432022.0
2026-01-01,4423049.0,4402758.666666667
2026-02-28,,4402758.666666667
2026-03-31,,4402758.666666667
2026-04-30,,4402758.666666667
