date,quantity,forecast
2021-02-01,3388843.0,
2021-03-01,3781110.0,
2021-04-01,3632181.0,3600711.3333333335
2021-05-01,3433843.0,3615711.3333333335
2021-06-01,3689634.0,3585219.3333333335
2021-07-01,3695755.0,3606410.6666666665
2021-08-01,3509252.0,3631547.0
2021-09-01,3644745.0,3616584.0
2021-10-01,3573641.0,3575879.3333333335
2021-11-01,3648796.0,3622394.0
2021-12-01,3816114.0,3679517.0
2022-01-01,3619956.0,3694955.3333333335
2022-02-01,3336096.0,3590722.0
2022-03-01,3856833.0,3604295.0
2022-04-01,3518664.0,3570531.0
2022-05-01,3623343.0,3666280.0
2022-06-01,3696938.0,3612981.6666666665
2022-07-01,3723270.0,3681183.6666666665
2022-08-01,3660332.0,3693513.3333333335
2022-09-01,3719366.0,3700989.3333333335
2022-10-01,3585994.0,3655230.6666666665
2022-11-01,3777522.0,3694294.0
2022-12-01,3634247.0,3665921.0
2023-01-01,3954682.0,3788817.0
2023-02-01,3439978.0,3676302.3333333335
2023-03-01,4058970.0,3817876.6666666665
2023-04-01,3468519.0,3655822.3333333335
2023-05-01,3703862.0,3743783.6666666665
2023-06-01,3871260.0,3681213.6666666665
2023-07-01,3768357.0,3781159.6666666665
2023-08-01,3712117.0,3783911.3333333335
2023-09-01,3828451.0,3769641.6666666665
2023-10-01,3918298.0,3819622.0
2023-11-01,3938553.0,3895100.6666666665
2023-12-01,3963059.0,3939970.0
2024-01-01,4122957.0,4008189.6666666665
2024-02-01,3681790.0,3922602.0
2024-03-01,3893068.0,3899271.6666666665
2024-04-01,4101471.0,3892109.6666666665
2024-05-01,4147442.0,4047327.0
2024-06-01,3912403.0,4053772.0
2024-07-01,4196340.0,4085395.0
2024-08-01,4065176.0,4057973.0
2024-09-01,3950348.0,4070621.3333333335
2024-10-01,4209875.0,4075133.0
2024-11-01,3968950.0,4043057.6666666665
2024-12-01,4204230.0,4127685.0
2025-01-01,4222571.0,4131917.0
2025-02-01,3800261.0,4075687.3333333335
2025-03-01,4145099.0,4055977.0
2025-04-01,4017599.0,3987653.0
2025-05-01,4270863.0,4144520.3333333335
2025-06-01,4050429.0,4112963.6666666665
2025-07-01,4318771.0,4213354.333333333
2025-08-01,3907003.0,4092067.6666666665
2025-09-01,4356410.0,4194061.3333333335
2025-10-01,4253560.0,4172324.3333333335
2025-11-01,4111539.0,4240503.0
2025-12-01,4442383.0,4269160.666666667
2026-01-01,4230051.0,4261324.333333333
2026-02-28,,4261324.333333333
2026-03-31,,4261324.333333333
2026-04-30,,4261324.333333333
