date,quantity,forecast
2021-02-01,1454237.0,
2021-03-01,1621460.0,
2021-04-01,1581592.0,1552429.6666666667
2021-05-01,1478342.0,1560464.6666666667
2021-06-01,1604219.0,1554717.6666666667
2021-07-01,1597530.0,1560030.3333333333
2021-08-01,1534701.0,1578816.6666666667
2021-09-01,1600166.0,1577465.6666666667
2021-10-01,1539192.0,1558019.6666666667
2021-11-01,1555841.0,1565066.3333333333
2021-12-01,1647610.0,1580881.0
2022-01-01,1541052.0,1581501.0
2022-02-01,1495497.0,1561386.3333333333
2022-03-01,1619511.0,1552020.0
2022-04-01,1522744.0,1545917.3333333333
2022-05-01,1557997.0,1566750.6666666667
2022-06-01,1525048.0,1535263.0
2022-07-01,1532259.0,1538434.6666666667
2022-08-01,1573083.0,1543463.3333333333
2022-09-01,1550901.0,1552081.0
2022-10-01,1586696.0,1570226.6666666667
2022-11-01,1639557.0,1592384.6666666667
2022-12-01,1527722.0,1584658.3333333333
2023-01-01,1618577.0,1595285.3333333333
2023-02-01,1422410.0,1522903.0
2023-03-01,1614513.0,1551833.3333333333
2023-04-01,1477709.0,1504877.3333333333
2023-05-01,1569219.0,1553813.6666666667
2023-06-01,1605127.0,1550685.0
2023-07-01,1549597.0,1574647.6666666667
2023-08-01,1597791.0,1584171.6666666667
2023-09-01,1559086.0,1568824.6666666667
2023-10-01,1631700.0,1596192.3333333333
2023-11-01,1591317.0,1594034.3333333333
2023-12-01,1577549.0,1600188.6666666667
2024-01-01,1634638.0,1601168.0
2024-02-01,1475327.0,1562504.6666666667
2024-03-01,1535802.0,1548589.0
2024-04-01,1516338.0,1509155.6666666667
2024-05-01,1610858.0,1554332.6666666667
2024-06-01,1504121.0,1543772.3333333333
2024-07-01,1622964.0,1579314.3333333333
2024-08-01,1602898.0,1576661.0
2024-09-01,1520004.0,1581955.3333333333
2024-10-01,1647473.0,1590125.0
2024-11-01,1553395.0,1573624.0
2024-12-01,1600510.0,1600459.3333333333
2025-01-01,1610298.0,1588067.6666666667
2025-02-01,1480753.0,1563853.6666666667
2025-03-01,1548248.0,1546433.0
2025-04-01,1535019.0,1521340.0
2025-05-01,1615085.0,1566117.3333333333
2025-06-01,1589281.0,1579795.0
2025-07-01,1682468.0,1628944.6666666667
2025-08-01,1508258.0,1593335.6666666667
2025-09-01,1675996.0,1622240.6666666667
2025-10-01,1653518.0,1612590.6666666667
2025-11-01,1559031.0,1629515.0
2025-12-01,1659782.0,1624110.3333333333
2026-01-01,1660327.0,1626380.0
2026-02-28,,1626380.0
2026-03-31,,1626380.0
2026-04-30,,1626380.0
