date,quantity,forecast
2021-02-01,2790575.0,
2021-03-01,3160226.0,
2021-04-01,2981644.0,2977481.6666666665
2021-05-01,2802008.0,2981292.6666666665
2021-06-01,2913324.0,2898992.0
2021-07-01,2942223.0,2885851.6666666665
2021-08-01,2811781.0,2889109.3333333335
2021-09-01,3041776.0,2931926.6666666665
2021-10-01,2740164.0,2864573.6666666665
2021-11-01,2949368.0,2910436.0
2021-12-01,3035920.0,2908484.0
2022-01-01,2898008.0,2961098.6666666665
2022-02-01,2700433.0,2878120.3333333335
2022-03-01,3003084.0,2867175.0
2022-04-01,2838108.0,2847208.3333333335
2022-05-01,2908061.0,2916417.6666666665
2022-06-01,2986152.0,2910773.6666666665
2022-07-01,2919466.0,2937893.0
2022-08-01,2882454.0,2929357.3333333335
2022-09-01,2987799.0,2929906.3333333335
2022-10-01,2913153.0,2927802.0
2022-11-01,2977492.0,2959481.3333333335
2022-12-01,2952164.0,2947603.0
2023-01-01,2970526.0,2966727.3333333335
2023-02-01,2783763.0,2902151.0
2023-03-01,3165040.0,2973109.6666666665
2023-04-01,2770617.0,2906473.3333333335
2023-05-01,2988669.0,2974775.3333333335
2023-06-01,3001740.0,2920342.0
2023-07-01,2951484.0,2980631.0
2023-08-01,3005462.0,2986228.6666666665
2023-09-01,2909428.0,2955458.0
2023-10-01,3009405.0,2974765.0
2023-11-01,3055493.0,2991442.0
2023-12-01,2969326.0,3011408.0
2024-01-01,3120398.0,3048405.6666666665
2024-02-01,2930759.0,3006827.6666666665
2024-03-01,2990380.0,3013845.6666666665
2024-04-01,3064294.0,2995144.3333333335
2024-05-01,3253431.0,3102701.6666666665
2024-06-01,2953208.0,3090311.0
2024-07-01,3215027.0,3140555.3333333335
2024-08-01,3055582.0,3074605.6666666665
2024-09-01,3048729.0,3106446.0
2024-10-01,3253951.0,3119420.6666666665
2024-11-01,3077433.0,3126704.3333333335
2024-12-01,3213916.0,3181766.6666666665
2025-01-01,3278830.0,3190059.6666666665
2025-02-01,2944776.0,3145840.6666666665
2025-03-01,3073034.0,3098880.0
2025-04-01,3121581.0,3046463.6666666665
2025-05-01,3157826.0,3117480.3333333335
2025-06-01,3035734.0,3105047.0
2025-07-01,3250748.0,3148102.6666666665
2025-08-01,2958719.0,3081733.6666666665
2025-09-01,3209536.0,3139667.6666666665
2025-10-01,3287716.0,3151990.3333333335
2025-11-01,2969730.0,3155660.6666666665
2025-12-01,3425792.0,3227746.0
2026-01-01,3265688.0,3220403.3333333335
2026-02-28,,3220403.3333333335
2026-03-31,,3220403.3333333335
2026-04-30,,3220403.3333333335
