date,quantity,forecast
2021-02-01,2918397.0,
2021-03-01,3237879.0,
2021-04-01,3131122.0,3095799.3333333335
2021-05-01,3101034.0,3156678.3333333335
2021-06-01,3111343.0,3114499.6666666665
2021-07-01,3014203.0,3075526.6666666665
2021-08-01,3067314.0,3064286.6666666665
2021-09-01,3171142.0,3084219.6666666665
2021-10-01,3048721.0,3095725.6666666665
2021-11-01,3192828.0,3137563.6666666665
2021-12-01,3316653.0,3186067.3333333335
2022-01-01,3129942.0,3213141.0
2022-02-01,2949117.0,3131904.0
2022-03-01,3254843.0,3111300.6666666665
2022-04-01,3005440.0,3069800.0
2022-05-01,3099610.0,3119964.3333333335
2022-06-01,3086008.0,3063686.0
2022-07-01,3122838.0,3102818.6666666665
2022-08-01,3244136.0,3150994.0
2022-09-01,2991631.0,3119535.0
2022-10-01,3113837.0,3116534.6666666665
2022-11-01,3225301.0,3110256.3333333335
2022-12-01,3287744.0,3208960.6666666665
2023-01-01,3156833.0,3223292.6666666665
2023-02-01,2863043.0,3102540.0
2023-03-01,3385327.0,3135067.6666666665
2023-04-01,2976784.0,3075051.3333333335
2023-05-01,3009573.0,3123894.6666666665
2023-06-01,3067848.0,3018068.3333333335
2023-07-01,3118143.0,3065188.0
2023-08-01,3126543.0,3104178.0
2023-09-01,2819465.0,3021383.6666666665
2023-10-01,3135156.0,3027054.6666666665
2023-11-01,3382718.0,3112446.3333333335
2023-12-01,3407133.0,3308335.6666666665
2024-01-01,3316511.0,3368787.3333333335
2024-02-01,3037730.0,3253791.3333333335
2024-03-01,3120581.0,3158274.0
2024-04-01,3392196.0,3183502.3333333335
2024-05-01,3282577.0,3265118.0
2024-06-01,3157907.0,3277560.0
2024-07-01,3482878.0,3307787.3333333335
2024-08-01,3272589.0,3304458.0
2024-09-01,3127709.0,3294392.0
2024-10-01,3471638.0,3290645.3333333335
2024-11-01,3309764.0,3303037.0
2024-12-01,3428703.0,3403368.3333333335
2025-01-01,3427392.0,3388619.6666666665
2025-02-01,3112163.0,3322752.6666666665
2025-03-01,3298818.0,3279457.6666666665
2025-04-01,3170514.0,3193831.6666666665
2025-05-01,3459042.0,3309458.0
2025-06-01,3365535.0,3331697.0
2025-07-01,3507453.0,3444010.0
2025-08-01,3259581.0,3377523.0
2025-09-01,3344617.0,3370550.3333333335
2025-10-01,3565530.0,3389909.3333333335
2025-11-01,3218691.0,3376279.3333333335
2025-12-01,3710868.0,3498363.0
2026-01-01,3564950.0,3498169.6666666665
2026-02-28,,3498169.6666666665
2026-03-31,,3498169.6666666665
2026-04-30,,3498169.6666666665
