date,quantity,forecast
2021-02-01,2884573.0,
2021-03-01,3276156.0,
2021-04-01,2991881.0,3050870.0
2021-05-01,3024502.0,3097513.0
2021-06-01,3083688.0,3033357.0
2021-07-01,3078832.0,3062340.6666666665
2021-08-01,3065390.0,3075970.0
2021-09-01,3194756.0,3112992.6666666665
2021-10-01,3065076.0,3108407.3333333335
2021-11-01,3089733.0,3116521.6666666665
2021-12-01,3321793.0,3158867.3333333335
2022-01-01,3138182.0,3183236.0
2022-02-01,2906827.0,3122267.3333333335
2022-03-01,3391770.0,3145593.0
2022-04-01,3051188.0,3116595.0
2022-05-01,3223571.0,3222176.3333333335
2022-06-01,3137124.0,3137294.3333333335
2022-07-01,3201307.0,3187334.0
2022-08-01,3263398.0,3200609.6666666665
2022-09-01,3292069.0,3252258.0
2022-10-01,3157444.0,3237637.0
2022-11-01,3256655.0,3235389.3333333335
2022-12-01,3329900.0,3247999.6666666665
2023-01-01,3243516.0,3276690.3333333335
2023-02-01,2991202.0,3188206.0
2023-03-01,3516923.0,3250547.0
2023-04-01,3074183.0,3194102.6666666665
2023-05-01,3225198.0,3272101.3333333335
2023-06-01,3384682.0,3228021.0
2023-07-01,3306005.0,3305295.0
2023-08-01,3249258.0,3313315.0
2023-09-01,3214309.0,3256524.0
2023-10-01,3535594.0,3333053.6666666665
2023-11-01,3470331.0,3406744.6666666665
2023-12-01,3535787.0,3513904.0
2024-01-01,3617768.0,3541295.3333333335
2024-02-01,3464402.0,3539319.0
2024-03-01,3281341.0,3454503.6666666665
2024-04-01,3508280.0,3418007.6666666665
2024-05-01,3709544.0,3499721.6666666665
2024-06-01,3369335.0,3529053.0
2024-07-01,3602764.0,3560547.6666666665
2024-08-01,3473377.0,3481825.3333333335
2024-09-01,3504125.0,3526755.3333333335
2024-10-01,3739345.0,3572282.3333333335
2024-11-01,3497625.0,3580365.0
2024-12-01,3700430.0,3645800.0
2025-01-01,3768519.0,3655524.6666666665
2025-02-01,3403115.0,3624021.3333333335
2025-03-01,3498994.0,3556876.0
2025-04-01,3454295.0,3452134.6666666665
2025-05-01,3669920.0,3541069.6666666665
2025-06-01,3471598.0,3531937.6666666665
2025-07-01,3814296.0,3651938.0
2025-08-01,3449210.0,3578368.0
2025-09-01,3691789.0,3651765.0
2025-10-01,3795655.0,3645551.3333333335
2025-11-01,3521125.0,3669523.0
2025-12-01,3770148.0,3695642.6666666665
2026-01-01,3727769.0,3673014.0
2026-02-28,,3673014.0
2026-03-31,,3673014.0
2026-04-30,,3673014.0
