date,quantity,forecast
2021-02-01,5934493.0,
2021-03-01,6583313.0,
2021-04-01,6343189.0,6286998.333333333
2021-05-01,6173779.0,6366760.333333333
2021-06-01,6252245.0,6256404.333333333
2021-07-01,6516972.0,6314332.0
2021-08-01,6229371.0,6332862.666666667
2021-09-01,6459079.0,6401807.333333333
2021-10-01,6276126.0,6321525.333333333
2021-11-01,6391743.0,6375649.333333333
2021-12-01,6477253.0,6381707.333333333
2022-01-01,6446261.0,6438419.0
2022-02-01,5899292.0,6274268.666666667
2022-03-01,6654565.0,6333372.666666667
2022-04-01,6419509.0,6324455.333333333
2022-05-01,6341780.0,6471951.333333333
2022-06-01,6403191.0,6388160.0
2022-07-01,6568531.0,6437834.0
2022-08-01,6516124.0,6495948.666666667
2022-09-01,6548544.0,6544399.666666667
2022-10-01,6433926.0,6499531.333333333
2022-11-01,6775545.0,6586005.0
2022-12-01,6686260.0,6631910.333333333
2023-01-01,6467349.0,6643051.333333333
2023-02-01,6137096.0,6430235.0
2023-03-01,7033548.0,6545997.666666667
2023-04-01,6234879.0,6468507.666666667
2023-05-01,6410125.0,6559517.333333333
2023-06-01,6569538.0,6404847.333333333
2023-07-01,6558297.0,6512653.333333333
2023-08-01,6551470.0,6559768.333333333
2023-09-01,6305823.0,6471863.333333333
2023-10-01,6867351.0,6574881.333333333
2023-11-01,6862751.0,6678641.666666667
2023-12-01,6795675.0,6841925.666666667
2024-01-01,7000683.0,6886369.666666667
2024-02-01,6504039.0,6766799.0
2024-03-01,6652302.0,6719008.0
2024-04-01,6843918.0,6666753.0
2024-05-01,7109411.0,6868543.666666667
2024-06-01,6621150.0,6858159.666666667
2024-07-01,7163369.0,6964643.333333333
2024-08-01,6799216.0,6861245.0
2024-09-01,6746588.0,6903057.666666667
2024-10-01,7224441.0,6923415.0
2024-11-01,6747119.0,6906049.333333333
2024-12-01,7081303.0,7017621.0
2025-01-01,6987745.0,6938722.333333333
2025-02-01,6489235.0,6852761.0
2025-03-01,6804031.0,6760337.0
2025-04-01,6764955.0,6686073.666666667
2025-05-01,7048419.0,6872468.333333333
2025-06-01,6830012.0,6881128.666666667
2025-07-01,7274120.0,7050850.333333333
2025-08-01,6583321.0,6895817.666666667
2025-09-01,7113307.0,6990249.333333333
2025-10-01,7287689.0,6994772.333333333
2025-11-01,6520094.0,6973696.666666667
2025-12-01,7598589.0,7135457.333333333
2026-01-01,7129149.0,7082610.666666667
2026-02-28,,7082610.666666667
2026-03-31,,7082610.666666667
2026-04-30,,7082610.666666667
