date,quantity
2021-02-01,1682963.0
2021-03-01,1909747.0
2021-04-01,1955374.0
2021-05-01,1772494.0
2021-06-01,1912834.0
2021-07-01,1888439.0
2021-08-01,1833443.0
2021-09-01,1920757.0
2021-10-01,1817499.0
2021-11-01,1826625.0
2021-12-01,2103147.0
2022-01-01,1833174.0
2022-02-01,1740877.0
2022-03-01,1929092.0
2022-04-01,1789672.0
2022-05-01,1986220.0
2022-06-01,1798310.0
2022-07-01,1878397.0
2022-08-01,1910075.0
2022-09-01,1916228.0
2022-10-01,1760632.0
2022-11-01,1973207.0
2022-12-01,1890464.0
2023-01-01,1927349.0
2023-02-01,1774033.0
2023-03-01,1992530.0
2023-04-01,1790698.0
2023-05-01,1879687.0
2023-06-01,1880194.0
2023-07-01,1867119.0
2023-08-01,1947841.0
2023-09-01,1846873.0
2023-10-01,1904137.0
2023-11-01,1921115.0
2023-12-01,1862798.0
2024-01-01,1996521.0
2024-02-01,1836353.0
2024-03-01,1824968.0
2024-04-01,1958681.0
2024-05-01,1985078.0
2024-06-01,1865236.0
2024-07-01,2003413.0
2024-08-01,1948687.0
2024-09-01,1919786.0
2024-10-01,1974772.0
2024-11-01,1902536.0
2024-12-01,2019570.0
2025-01-01,2047965.0
2025-02-01,1798981.0
2025-03-01,1900032.0
2025-04-01,1916699.0
2025-05-01,2001533.0
2025-06-01,1865403.0
2025-07-01,2029641.0
2025-08-01,1890176.0
2025-09-01,1953147.0
2025-10-01,2023436.0
2025-11-01,1853739.0
2025-12-01,2077418.0
2026-01-01,1980453.0
