date,quantity
2021-02-01,8064146.0
2021-03-01,8956017.0
2021-04-01,8665216.0
2021-05-01,8304795.0
2021-06-01,8714882.0
2021-07-01,8683609.0
2021-08-01,8210260.0
2021-09-01,8743155.0
2021-10-01,8116194.0
2021-11-01,8529995.0
2021-12-01,9158832.0
2022-01-01,8328839.0
2022-02-01,8138245.0
2022-03-01,8999229.0
2022-04-01,8377531.0
2022-05-01,8508707.0
2022-06-01,8403044.0
2022-07-01,8549859.0
2022-08-01,8701714.0
2022-09-01,8720862.0
2022-10-01,8408728.0
2022-11-01,8797188.0
2022-12-01,8976835.0
2023-01-01,8778372.0
2023-02-01,7967904.0
2023-03-01,9280677.0
2023-04-01,8323895.0
2023-05-01,8249137.0
2023-06-01,8589643.0
2023-07-01,8756709.0
2023-08-01,8691674.0
2023-09-01,8378863.0
2023-10-01,8896959.0
2023-11-01,8988953.0
2023-12-01,9083050.0
2024-01-01,9318502.0
2024-02-01,8365621.0
2024-03-01,8881258.0
2024-04-01,8926370.0
2024-05-01,9119914.0
2024-06-01,8785825.0
2024-07-01,9152153.0
2024-08-01,8804628.0
2024-09-01,8671001.0
2024-10-01,9440680.0
2024-11-01,9030855.0
2024-12-01,9255693.0
2025-01-01,9298441.0
2025-02-01,8201353.0
2025-03-01,8941766.0
2025-04-01,8693956.0
2025-05-01,9148828.0
2025-06-01,9050688.0
2025-07-01,9362766.0
2025-08-01,8667800.0
2025-09-01,9189467.0
2025-10-01,9638087.0
2025-11-01,8879808.0
2025-12-01,9841982.0
2026-01-01,9279519.0
