date,quantity
2021-02-01,4405176.0
2021-03-01,4830404.0
2021-04-01,4744082.0
2021-05-01,4520518.0
2021-06-01,4659498.0
2021-07-01,4689674.0
2021-08-01,4457544.0
2021-09-01,4647126.0
2021-10-01,4549346.0
2021-11-01,4498377.0
2021-12-01,4961084.0
2022-01-01,4566148.0
2022-02-01,4202173.0
2022-03-01,4819835.0
2022-04-01,4637791.0
2022-05-01,4664768.0
2022-06-01,4591145.0
2022-07-01,4499128.0
2022-08-01,4653765.0
2022-09-01,4653234.0
2022-10-01,4666840.0
2022-11-01,4562581.0
2022-12-01,4647313.0
2023-01-01,4702107.0
2023-02-01,4199771.0
2023-03-01,4890517.0
2023-04-01,4328260.0
2023-05-01,4428361.0
2023-06-01,4640285.0
2023-07-01,4514671.0
2023-08-01,4551667.0
2023-09-01,4416384.0
2023-10-01,4784497.0
2023-11-01,4687159.0
2023-12-01,4801269.0
2024-01-01,4734216.0
2024-02-01,4444506.0
2024-03-01,4460330.0
2024-04-01,4769396.0
2024-05-01,4772283.0
2024-06-01,4381388.0
2024-07-01,4819406.0
2024-08-01,4598226.0
2024-09-01,4539361.0
2024-10-01,4769301.0
2024-11-01,4668000.0
2024-12-01,4754780.0
2025-01-01,5041374.0
2025-02-01,4362764.0
2025-03-01,4611108.0
2025-04-01,4656232.0
2025-05-01,4874279.0
2025-06-01,4678054.0
2025-07-01,5025918.0
2025-08-01,4438070.0
2025-09-01,4975879.0
2025-10-01,4938304.0
2025-11-01,4584234.0
2025-12-01,5051194.0
2026-01-01,4921061.0
